,0,1,2,3,4,5,6
20220101,34766,1081,1614,1328,1755,17856,11688
20220102,35123,1112,1636,1229,1662,16570,12756
20220103,35220,1103,1698,1355,1646,17078,11988
20220104,34518,969,1586,1638,1780,16734,12863
20220105,33593,849,1658,1810,1874,16382,13922
20220106,33172,747,1455,1565,2325,19981,10843
20220107,33150,826,1316,1563,2211,20582,10440
20220108,33238,750,1306,1460,2236,21586,9512
20220109,32948,836,1538,1457,2109,20358,10842
20220110,32864,746,1295,1408,2190,18272,13313
20220111,33126,680,1159,1334,1851,14101,17837
20220112,34055,667,1372,1325,1759,15393,15517
20220113,35082,720,1402,1415,2126,19340,10003
20220114,35332,889,1502,1817,3780,21522,5246
20220115,34858,946,1529,1737,4317,23123,3578
20220116,34718,1073,1603,1832,4639,23236,2987
20220117,34607,1069,1574,1632,3086,22925,5195
20220118,34077,1131,1515,1451,2223,19695,9996
20220119,34270,1103,1652,1527,2640,23364,5532
20220120,34553,1099,1607,1561,3060,25310,2898
20220121,33647,961,1762,1516,2323,22447,7432
20220122,33699,733,1769,1938,3160,22818,5971
20220123,35509,889,1756,1625,2622,17856,9831
20220124,37013,1098,2132,1936,3573,19388,4948
20220125,38131,1262,2093,2082,4380,19756,2384
20220126,38366,1429,2115,2456,5246,18060,2416
20220127,38174,1337,2047,2859,6393,17229,2049
20220128,37478,1498,2427,3068,6449,16652,2516
20220129,35807,1486,2584,2816,5704,18514,3177
20220130,34827,1311,2290,2685,5635,18578,4762
20220131,34364,880,2010,2577,5285,20167,4805
20220202,34181,832,1441,2038,3962,19553,8081
20220203,33988,875,1343,1588,3215,19187,9892
20220204,33817,947,1484,1607,2659,21485,8089
20220205,34412,964,1457,1638,2309,20958,8350
20220206,35144,1022,1630,1657,2478,23745,4412
20220207,36421,807,1401,1550,2858,22528,4523
20220208,36751,684,1267,1558,2765,20188,6875
20220209,37064,882,1615,2060,3533,19864,5070
20220210,37518,1089,1779,1959,3889,19885,3969
20220211,37907,1178,1916,1952,4583,19420,3132
20220212,38153,1164,1864,1810,4678,19564,2855
20220213,37718,1496,1953,1899,4791,19195,3036
20220214,36597,1361,2375,1981,4608,19269,3897
20220215,36043,1469,2498,1837,4071,19696,4474
20220216,35398,1454,2536,2405,5172,17001,6122
20220217,35382,1382,2435,2808,6091,15091,6899
20220218,34961,1462,2529,2735,5969,16000,6432
20220219,34327,1457,2433,2498,5188,18248,5937
20220220,33533,1117,2197,2478,5977,18600,6186
20220221,32701,1203,1872,2230,5379,20088,6615
20220222,32035,1030,1824,2062,4324,22064,6749
