,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-01,34766,1081,1614,1328,1755,17856,11688,DJF
2022-01-02,35123,1112,1636,1229,1662,16570,12756,DJF
2022-01-03,35220,1103,1698,1355,1646,17078,11988,DJF
2022-01-04,34518,969,1586,1638,1780,16734,12863,DJF
2022-01-05,33593,849,1658,1810,1874,16382,13922,DJF
2022-01-06,33172,747,1455,1565,2325,19981,10843,DJF
2022-01-07,33150,826,1316,1563,2211,20582,10440,DJF
2022-01-08,33238,750,1306,1460,2236,21586,9512,DJF
2022-01-09,32948,836,1538,1457,2109,20358,10842,DJF
2022-01-10,32864,746,1295,1408,2190,18272,13313,DJF
2022-01-11,33126,680,1159,1334,1851,14101,17837,DJF
2022-01-12,34055,667,1372,1325,1759,15393,15517,DJF
2022-01-13,35082,720,1402,1415,2126,19340,10003,DJF
2022-01-14,35332,889,1502,1817,3780,21522,5246,DJF
2022-01-15,34858,946,1529,1737,4317,23123,3578,DJF
2022-01-16,34718,1073,1603,1832,4639,23236,2987,DJF
2022-01-17,34607,1069,1574,1632,3086,22925,5195,DJF
2022-01-18,34077,1131,1515,1451,2223,19695,9996,DJF
2022-01-19,34270,1103,1652,1527,2640,23364,5532,DJF
2022-01-20,34553,1099,1607,1561,3060,25310,2898,DJF
2022-01-21,33647,961,1762,1516,2323,22447,7432,DJF
2022-01-22,33699,733,1769,1938,3160,22818,5971,DJF
2022-01-23,35509,889,1756,1625,2622,17856,9831,DJF
2022-01-24,37013,1098,2132,1936,3573,19388,4948,DJF
2022-01-25,38131,1262,2093,2082,4380,19756,2384,DJF
2022-01-26,38366,1429,2115,2456,5246,18060,2416,DJF
2022-01-27,38174,1337,2047,2859,6393,17229,2049,DJF
2022-01-28,37478,1498,2427,3068,6449,16652,2516,DJF
2022-01-29,35807,1486,2584,2816,5704,18514,3177,DJF
2022-01-30,34827,1311,2290,2685,5635,18578,4762,DJF
2022-01-31,34364,880,2010,2577,5285,20167,4805,DJF
2022-02-02,34181,832,1441,2038,3962,19553,8081,DJF
2022-02-03,33988,875,1343,1588,3215,19187,9892,DJF
2022-02-04,33817,947,1484,1607,2659,21485,8089,DJF
2022-02-05,34412,964,1457,1638,2309,20958,8350,DJF
2022-02-06,35144,1022,1630,1657,2478,23745,4412,DJF
2022-02-07,36421,807,1401,1550,2858,22528,4523,DJF
2022-02-08,36751,684,1267,1558,2765,20188,6875,DJF
2022-02-09,37064,882,1615,2060,3533,19864,5070,DJF
2022-02-10,37518,1089,1779,1959,3889,19885,3969,DJF
2022-02-11,37907,1178,1916,1952,4583,19420,3132,DJF
2022-02-12,38153,1164,1864,1810,4678,19564,2855,DJF
2022-02-13,37718,1496,1953,1899,4791,19195,3036,DJF
2022-02-14,36597,1361,2375,1981,4608,19269,3897,DJF
2022-02-15,36043,1469,2498,1837,4071,19696,4474,DJF
2022-02-16,35398,1454,2536,2405,5172,17001,6122,DJF
2022-02-17,35382,1382,2435,2808,6091,15091,6899,DJF
2022-02-18,34961,1462,2529,2735,5969,16000,6432,DJF
2022-02-19,34327,1457,2433,2498,5188,18248,5937,DJF
2022-02-20,33533,1117,2197,2478,5977,18600,6186,DJF
2022-02-21,32701,1203,1872,2230,5379,20088,6615,DJF
2022-02-22,32035,1030,1824,2062,4324,22064,6749,DJF
2022-02-23,32076,992,1743,2027,3781,21767,7702,DJF
2022-02-24,32573,1002,1609,1513,2751,21063,9577,DJF
2022-02-25,32735,941,1629,1773,3115,22027,7868,DJF
2022-02-26,32921,1197,2228,2758,4151,21351,5482,DJF
2022-02-27,33039,1256,2226,2495,4155,21235,5682,DJF
2022-02-28,32565,1200,1817,2177,3834,20946,7549,DJF
2022-03-01,32268,1058,1788,2175,3475,20094,9230,MAM
2022-03-02,32633,851,1580,1975,3138,20397,9514,MAM
2022-03-03,32366,1017,1675,1806,2439,18112,12673,MAM
2022-03-04,32188,848,1492,1705,2139,15149,16567,MAM
2022-03-05,32139,894,1447,1541,2050,13088,18929,MAM
2022-03-06,32354,926,1589,1732,2305,16082,15100,MAM
2022-03-07,32582,1080,1793,1986,2300,16579,13768,MAM
2022-03-08,33429,1137,1800,1719,2251,15025,14727,MAM
2022-03-09,33769,1045,1782,1666,2553,19157,10116,MAM
2022-03-10,34130,985,2068,2150,3044,21091,6620,MAM
2022-03-11,35365,1206,2245,1923,3225,19229,6895,MAM
2022-03-12,36285,1053,1822,1718,3277,17498,8435,MAM
2022-03-13,35788,814,1852,1932,2779,14283,12640,MAM
2022-03-14,36212,847,1787,1827,3062,14828,11525,MAM
2022-03-15,37371,781,1969,2154,4001,17295,6517,MAM
2022-03-16,38036,955,1730,2124,3449,15625,8169,MAM
2022-03-17,39238,1023,1816,1948,4607,16937,4519,MAM
2022-03-18,39188,1248,2183,2375,5891,16344,2859,MAM
2022-03-19,38976,1417,2117,2144,7874,14757,2803,MAM
2022-03-20,38205,1189,2290,2352,7362,16141,2549,MAM
2022-03-21,36222,1420,2831,2646,6091,18707,2171,MAM
2022-03-22,37369,1367,2224,2756,7849,17349,1174,MAM
2022-03-23,36978,1251,2235,2727,7986,17615,1296,MAM
2022-03-24,35244,1243,2346,2814,8341,18124,1976,MAM
2022-03-25,34055,1229,2283,2642,7446,20057,2376,MAM
2022-03-26,33027,1168,2236,2569,5257,21501,4330,MAM
2022-03-27,32697,1174,2171,2496,4293,21553,5704,MAM
2022-03-28,32765,1242,2176,2403,3916,21658,5928,MAM
2022-03-29,32295,1335,2419,2614,4157,21673,5595,MAM
