,0,1,2,3,4,5,6
20220105,1375340,97772,104422,83826,137954,1293230,118720.0
20220106,1350473,94611,94658,62155,159689,1337082,112596.0
20220107,1335209,105489,86621,65587,152790,1357814,107754.0
20220112,1393860,134038,93337,53252,93487,1325301,117989.0
20220113,1412474,153029,103261,64834,77246,1267906,132514.0
20220114,1396889,147444,121431,70269,77480,1266680,131071.0
20220120,1348496,142835,139609,89708,75788,1277845,136983.0
20220121,1348684,123601,109641,86280,124931,1287642,130485.0
20220126,1443499,178187,156099,69875,118355,1101606,143643.0
20220127,1416652,187831,159409,83859,154838,1069260,139415.0
20220128,1416403,180827,143915,82824,169671,1081466,136158.0
20220202,1384811,133192,119495,70364,133320,1256240,113842.0
20220203,1394340,126364,107651,74198,123631,1270892,114188.0
20220204,1411255,113801,96614,55095,115490,1299838,119171.0
20220209,1453727,174884,126337,61025,61043,1204094,130154.0
20220210,1484893,155708,122247,85541,69414,1148535,144926.0
20220211,1494031,159798,114868,78784,85119,1160635,118029.0
20220216,1398868,161154,155443,93029,103394,1158079,141297.0
20220217,1385596,147621,144912,85125,88575,1238996,120439.0
20220218,1342124,153774,156049,121032,116361,1177016,144908.0
20220223,1263248,116732,125170,72443,132001,1379143,122527.0
20220224,1250281,113847,123801,82072,136139,1381380,123744.0
20220225,1252934,127892,133990,90178,103093,1370215,132962.0
20220302,1290874,115472,109236,71156,131703,1357825,134998.0
20220303,1295207,117861,112169,70068,128267,1349560,138132.0
20220304,1303209,110682,109968,62240,123744,1363524,137897.0
20220309,1325985,129940,101550,63777,105924,1342017,142071.0
20220310,1355089,150143,109420,65663,94323,1284075,152551.0
20220311,1355656,176686,98748,61125,91502,1271205,156342.0
20220316,1447068,140839,147738,93992,106971,1122590,152066.0
20220317,1436092,144767,134957,111941,108143,1114091,161273.0
20220318,1445680,170423,172747,79619,107497,1075863,159435.0
20220323,1402804,164938,164753,86788,147928,1095690,148363.0
20220324,1388714,150909,174836,94724,144761,1115123,142197.0
20220325,1349738,152136,160395,95052,173772,1150755,129416.0
20220330,1259917,145751,135363,105716,156217,1274392,133908.0
20220331,1204508,146143,151211,95110,177159,1303037,134096.0
20220401,1223748,143725,134431,87837,173842,1311567,136114.0
20220406,1277748,115085,121848,71098,165844,1306172,153469.0
20220407,1290389,98932,112011,67075,115605,1371386,155866.0
20220408,1263403,101877,121052,82798,97478,1399041,145615.0
20220413,1312743,120341,143128,76825,82531,1341486,134210.0
20220421,1348579,121358,88820,44750,78582,1405009,124166.0
20220422,1340985,104156,85919,46318,77071,1427721,129094.0
20220427,1273303,97708,101211,64871,99198,1442682,132291.0
20220428,1233824,96675,106833,74618,111170,1442635,145509.0
20220429,1203563,105489,108924,76531,102476,1461142,153139.0
20220504,1173872,116052,94593,65107,92928,1554994,113718.0
20220505,1155484,107667,100402,71254,121094,1514574,140789.0
20220506,1156279,97733,93679,70078,110433,1543324,139738.0
20220511,1177730,106330,132557,82299,119079,1436962,156307.0
20220512,1201778,104778,122067,69392,100454,1459725,153070.0
20220513,1208651,115905,109687,77070,93823,1468704,137424.0
20220518,1221617,135707,135310,81549,144462,1335487,157132.0
20220520,1206019,135343,136195,96345,164699,1338171,134492.0
20220525,1291581,176055,132508,98109,163843,1191327,157841.0
20220527,1333071,189416,167717,91352,161823,1106637,161248.0
20220601,1419083,196041,236596,106033,149905,938892,164714.0
20220602,1451868,186496,234866,88083,142525,945393,162033.0
20220603,1446315,217446,206147,98247,131841,959357,151911.0
20220609,1695130,227540,182046,57197,105296,820218,123837.0
20220610,1684048,227010,163211,65855,110101,843071,117968.0
20220615,1772476,185291,136269,73554,118563,821383,103728.0
20220616,1719635,234959,136519,79646,122348,813278,104879.0
20220617,1770156,208711,118138,70604,127356,814987,101312.0
20220622,1867908,223607,133256,71776,104633,712142,97942.0
20220623,1902107,221125,139981,60398,104238,685962,97453.0
20220624,1927748,232285,118367,66236,86494,691167,88967.0
20220629,2035346,230576,99860,31971,47992,679669,85850.0
20220630,2032527,211523,110440,44893,55850,672730,83301.0
20220701,2011657,234293,103507,45279,53745,680075,82708.0
20220706,2037674,252550,97138,51755,72012,661703,38432.0
20220707,2258359,122487,51981,38297,59413,648165,32562.0
20220708,2041806,288633,70913,46090,71185,653604,39033.0
