,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-03,1214804,119249,112282,66249,71637,1257846,12631.0,DJF
2022-01-04,1200923,104565,102048,74952,83520,1274846,13844.0,DJF
2022-01-05,1187823,103075,92841,81095,92126,1281620,16118.0,DJF
2022-01-06,1155998,105998,91852,78528,101595,1304056,16671.0,DJF
2022-01-07,1131930,110858,82710,73879,113814,1324382,17125.0,DJF
2022-01-10,1122794,112835,86975,71271,97108,1346308,17407.0,DJF
2022-01-11,1143182,121527,85487,55741,75560,1356755,16446.0,DJF
2022-01-12,1190019,141637,78291,40167,54323,1335257,15004.0,DJF
2022-01-13,1201562,155518,91662,41112,50993,1301763,12088.0,DJF
2022-01-14,1191240,140572,103163,54575,55401,1297845,11902.0,DJF
2022-01-20,1162135,146754,107668,82223,80619,1263599,11700.0,DJF
2022-01-21,1143033,131910,100356,92672,80382,1293309,13036.0,DJF
2022-01-24,1167742,183857,130776,67354,59785,1231496,13688.0,DJF
2022-01-25,1216293,190427,139050,61782,50493,1185081,11572.0,DJF
2022-01-26,1240456,198976,125522,67546,73679,1138895,9624.0,DJF
2022-01-27,1217884,189283,129333,78879,90938,1134721,13660.0,DJF
2022-01-28,1182126,182878,109578,81188,116486,1167969,14473.0,DJF
2022-01-31,1209124,139778,84719,58866,136969,1214118,11124.0,DJF
2022-02-01,1207517,134087,81155,55675,113962,1251508,10794.0,DJF
2022-02-02,1201699,130338,82443,50438,110112,1267856,11812.0,DJF
2022-02-03,1198731,126259,76158,41028,87850,1311836,12836.0,DJF
2022-02-04,1179151,130497,81966,43775,79276,1326580,13453.0,DJF
2022-02-07,1220246,151157,119826,62524,62517,1225128,13300.0,DJF
2022-02-08,1230955,159854,102138,70218,68883,1208751,13899.0,DJF
2022-02-09,1260815,157503,106744,67598,60790,1184682,16566.0,DJF
2022-02-10,1257227,177208,104819,66627,68718,1163930,16169.0,DJF
2022-02-11,1263548,188601,108159,89157,92795,1096150,16288.0,DJF
2022-02-14,1285869,175933,109157,70419,85718,1113107,14495.0,DJF
2022-02-15,1267582,160415,134686,67493,87852,1122822,13848.0,DJF
2022-02-16,1241279,149402,134766,76939,70809,1168092,13411.0,DJF
2022-02-17,1203739,151287,133164,93351,89227,1169758,14172.0,DJF
2022-02-18,1170421,139680,123567,118087,111965,1177243,13735.0,DJF
2022-02-21,1126492,130464,102705,86992,150413,1241584,16048.0,DJF
2022-02-22,1100962,130793,99547,76291,127552,1300736,18817.0,DJF
2022-02-23,1082524,121144,106660,74843,104364,1346205,18958.0,DJF
2022-02-24,1074622,116111,110064,71615,94078,1367031,21177.0,DJF
2022-02-25,1093197,124610,112867,74801,82238,1345988,20997.0,DJF
2022-02-28,1089874,121439,98915,77948,108882,1341027,16613.0,DJF
2022-03-01,1081283,115831,88509,76102,126337,1349359,17277.0,MAM
2022-03-02,1104487,117596,94172,61270,110182,1348952,18039.0,MAM
2022-03-03,1100576,115804,97077,64764,105937,1353179,17361.0,MAM
2022-03-04,1115526,118645,91696,62431,91486,1358033,16881.0,MAM
2022-03-07,1116901,108314,91764,58813,89677,1370714,18515.0,MAM
2022-03-08,1130126,118459,84648,71829,86632,1344624,18380.0,MAM
2022-03-09,1132651,119780,96866,72470,93119,1323034,16778.0,MAM
2022-03-10,1155449,150354,98348,76462,72745,1287345,13995.0,MAM
2022-03-11,1150697,176923,102264,62554,92949,1255143,14168.0,MAM
2022-03-14,1197626,148463,99747,89416,103336,1197748,18362.0,MAM
2022-03-15,1185100,181246,110057,86929,90517,1181617,19232.0,MAM
2022-03-16,1197869,186632,130780,80650,74286,1159303,25178.0,MAM
2022-03-17,1218815,219964,125322,82762,68104,1114885,24846.0,MAM
2022-03-18,1238532,200198,128325,79351,94483,1092344,21465.0,MAM
2022-03-21,1249258,207439,123045,70181,86462,1106070,12243.0,MAM
2022-03-22,1233282,229501,117831,69714,80103,1112935,11332.0,MAM
2022-03-23,1100145,254173,137595,82183,107304,1161474,11824.0,MAM
2022-03-24,1194782,156222,121327,92694,118282,1157665,13726.0,MAM
2022-03-25,1193405,149063,117650,90971,114458,1175864,13287.0,MAM
2022-03-28,1109373,133017,114982,81239,111118,1290493,14476.0,MAM
2022-03-29,1103165,124301,118107,95017,113070,1287066,13972.0,MAM
2022-03-30,1101089,121132,121270,99333,104847,1293438,13589.0,MAM
2022-03-31,1075175,112787,106920,104462,119705,1319908,15741.0,MAM
2022-04-01,1072310,115490,102204,89488,119551,1338449,17206.0,MAM
2022-04-04,1084776,108704,93842,64929,101580,1384996,15871.0,MAM
2022-04-05,1090136,99654,101287,67866,79118,1400802,15835.0,MAM
2022-04-06,1090728,97716,100975,71429,92031,1385795,16024.0,MAM
2022-04-07,1086379,105064,93542,71397,100652,1380297,17367.0,MAM
2022-04-08,1095856,104636,86420,64675,103190,1381005,18916.0,MAM
2022-04-11,1117334,86479,98532,64401,96275,1373197,18480.0,MAM
2022-04-12,1096273,112010,104166,72520,84365,1367372,17992.0,MAM
2022-04-13,1092483,125013,94247,75240,91958,1356029,19728.0,MAM
2022-04-19,1086611,112167,89462,48755,70081,1431163,16459.0,MAM
2022-04-20,1118625,101512,84943,54123,71883,1407847,15765.0,MAM
2022-04-21,1129320,109899,77189,44583,66585,1410440,16682.0,MAM
2022-04-22,1108772,102174,71748,54636,64484,1436928,15956.0,MAM
2022-04-25,1089185,94613,86787,60536,82748,1422000,18829.0,MAM
2022-04-26,1085824,92300,89764,66390,90053,1412898,17469.0,MAM
2022-04-27,1074476,100756,89585,61756,81604,1429003,17518.0,MAM
2022-04-28,1035877,112375,97902,70726,96414,1423465,17939.0,MAM
2022-04-29,1044582,100275,91511,65731,106080,1425998,20521.0,MAM
2022-05-02,1026755,101547,102162,74220,116697,1414495,18822.0,MAM
2022-05-03,1012590,91326,96821,73697,118900,1442008,19356.0,MAM
2022-05-04,1007762,86958,91094,74184,118315,1455791,20594.0,MAM
2022-05-05,990324,89084,83833,73887,120468,1477040,20062.0,MAM
2022-05-06,1006416,81809,77807,64651,122591,1482823,18601.0,MAM
2022-05-09,1012077,99282,95618,61325,91793,1472459,22144.0,MAM
2022-05-10,1006945,93578,106517,65209,100746,1460907,20796.0,MAM
2022-05-11,1000901,117424,104246,70685,124703,1417722,19017.0,MAM
2022-05-12,1035729,96612,101102,67952,107691,1427684,17928.0,MAM
2022-05-13,1043459,105638,94459,74072,133212,1384915,18943.0,MAM
2022-05-16,1051105,129918,95973,80247,105544,1376721,15190.0,MAM
2022-05-18,1024519,131905,112230,95223,142121,1331213,17487.0,MAM
2022-05-19,1030508,118937,117161,94373,157830,1318066,17823.0,MAM
2022-05-20,1036750,120464,117045,89397,160353,1313295,17394.0,MAM
2022-05-23,1068126,123092,109313,94108,178631,1263613,17815.0,MAM
2022-05-24,1080976,123052,117686,93454,161833,1259837,17860.0,MAM
2022-05-25,1098085,136863,114058,84609,145515,1253414,22154.0,MAM
2022-05-27,1146691,135469,127227,89898,168457,1159154,27802.0,MAM
2022-05-30,1189755,180178,140061,133677,121458,1058470,31099.0,MAM
2022-05-31,1222245,191450,146693,131126,108578,1023361,31245.0,MAM
2022-06-01,1251658,189290,162444,132241,114455,975211,29399.0,JJA
2022-06-02,1279913,184723,145956,130976,110305,972165,30660.0,JJA
2022-06-03,1310934,177136,137000,100084,111340,985026,33178.0,JJA
2022-06-07,1504111,156101,128304,52363,81155,905352,27312.0,JJA
2022-06-08,1522533,152615,116323,60744,83035,892171,27277.0,JJA
2022-06-09,1537570,157694,110452,50910,81409,892518,24145.0,JJA
2022-06-10,1546198,159804,98532,55586,87854,880111,26613.0,JJA
2022-06-13,1576925,162889,105544,63920,126000,797514,21906.0,JJA
2022-06-14,1585732,160026,104158,63284,119524,801550,20424.0,JJA
2022-06-15,1585028,155985,105275,73598,101499,813124,20189.0,JJA
2022-06-16,1596386,152710,103072,79522,108509,795659,18840.0,JJA
2022-06-17,1612344,147568,101387,67457,107287,800319,18336.0,JJA
2022-06-20,1644431,178240,89395,79459,91506,756358,15309.0,JJA
2022-06-21,1655242,180402,96050,62234,80371,764040,16359.0,JJA
2022-06-22,1692486,204058,89839,68032,85728,703445,11110.0,JJA
2022-06-23,1707920,209503,92433,64173,73802,695199,11668.0,JJA
2022-06-24,1733525,208187,93746,62058,55926,689933,11323.0,JJA
2022-06-27,1805493,191209,63917,48426,51159,692596,1898.0,JJA
2022-06-28,1798706,197784,74181,49940,43695,687975,2417.0,JJA
2022-06-29,1793221,195637,81207,52982,59176,668793,3682.0,JJA
2022-06-30,1771379,210262,81913,42912,46647,698426,3159.0,JJA
2022-07-01,1796519,183492,89057,52922,48780,681966,1962.0,JJA
2022-07-04,1802524,183387,85773,43660,55544,682338,1472.0,JJA
2022-07-05,1778011,218370,80438,43357,56354,676948,1220.0,JJA
2022-07-06,1842656,179783,65146,45044,72078,649330,661.0,JJA
2022-07-07,1855518,162996,63789,53888,56099,661709,699.0,JJA
2022-07-08,1867492,154487,68939,61095,60348,642193,144.0,JJA
2022-07-11,1861586,159290,70288,56328,53475,653645,86.0,JJA
2022-07-12,1841077,195705,65159,48534,55559,648596,68.0,JJA
2022-07-13,1865237,181830,72254,49092,81726,604526,33.0,JJA
2022-07-14,1875129,181813,65226,47947,51234,633189,160.0,JJA
2022-07-15,1939082,161108,52801,36606,48423,616589,89.0,JJA
2022-07-18,1988908,155657,57736,28792,31395,592170,40.0,JJA
2022-07-19,1958732,205945,50911,25325,23902,589859,24.0,JJA
2022-07-20,1980587,191211,53329,27510,29520,572504,37.0,JJA
2022-07-21,1998922,173607,54891,23809,31370,572024,75.0,JJA
2022-07-22,2021865,147965,64874,31878,44414,543608,94.0,JJA
2022-07-25,2055780,142649,54716,44706,40901,515888,58.0,JJA
2022-07-26,2065337,139472,55272,36630,32361,525570,56.0,JJA
2022-07-27,2079972,134348,48172,33533,37847,520716,110.0,JJA
2022-07-28,2075727,134540,55324,32005,31449,525567,86.0,JJA
2022-07-29,2050668,148159,61483,34353,39392,520622,21.0,JJA
2022-08-01,2058330,149389,50884,32832,44481,518758,24.0,JJA
2022-08-02,2084155,132634,54404,27954,33443,522078,30.0,JJA
2022-08-03,2082634,127955,58579,39960,55351,490146,73.0,JJA
2022-08-04,2072434,147123,55281,34149,55342,490309,60.0,JJA
2022-08-05,2065344,160406,49232,32252,46992,500385,87.0,JJA
2022-08-08,2078154,152551,50848,36159,40506,496471,9.0,JJA
2022-08-09,2080853,144501,49814,37929,38468,503096,37.0,JJA
2022-08-10,2097322,124895,52480,50454,35746,493730,71.0,JJA
2022-08-11,2085984,131288,59482,51470,39846,486500,128.0,JJA
2022-08-12,2077033,141587,62859,39064,36723,497321,111.0,JJA
2022-08-15,2088406,130683,54385,52103,37977,491144,,JJA
2022-08-16,2085469,140968,44431,50403,37512,495899,16.0,JJA
2022-08-17,2091020,128874,51724,50485,39578,493011,6.0,JJA
2022-08-18,2098437,132449,53401,57998,46428,465964,21.0,JJA
2022-08-19,2098057,136821,49453,47806,52269,470206,86.0,JJA
2022-08-22,2109241,123570,54594,62481,43777,460960,75.0,JJA
2022-08-23,2099711,126233,53080,48212,65945,461465,52.0,JJA
2022-08-24,2081753,128077,58866,42518,53745,489712,27.0,JJA
2022-08-25,2064578,130085,64946,51241,63157,480680,11.0,JJA
2022-08-26,2073004,117720,56652,53745,64235,489337,5.0,JJA
2022-08-29,2055889,134754,50747,52095,70949,490231,33.0,JJA
2022-08-30,2067214,133727,48390,61940,74229,469198,,JJA
2022-08-31,2057085,143337,51195,46856,49760,506455,10.0,JJA
2022-09-01,2071068,151007,41646,48501,59888,482497,91.0,SON
2022-09-02,2076613,141271,46981,41430,58590,489748,65.0,SON
2022-09-05,2064239,123078,69612,53427,56333,488007,2.0,SON
2022-09-06,2062270,134735,53347,42641,61989,499611,105.0,SON
2022-09-07,2046237,141595,57733,53364,74932,480792,45.0,SON
2022-09-08,2048598,126082,63299,46284,60582,509847,6.0,SON
2022-09-09,2044538,117512,68400,46029,74628,503589,2.0,SON
2022-09-12,2035602,121934,65373,55563,73682,502511,33.0,SON
2022-09-13,2035272,122990,64191,74479,58076,499605,85.0,SON
2022-09-14,2022189,122955,62433,53675,75016,518407,23.0,SON
2022-09-15,2026037,136519,74187,51637,63193,503084,41.0,SON
2022-09-16,2023137,142826,55729,42577,50450,539958,21.0,SON
2022-09-19,2022038,141569,49030,32368,53232,556388,73.0,SON
2022-09-20,2040552,125595,54446,31187,52661,550162,95.0,SON
2022-09-21,2067830,114972,46473,32329,60952,532136,6.0,SON
2022-09-22,2085250,108120,46826,48223,53787,512418,74.0,SON
2022-09-23,2090788,112102,47151,31214,77542,495842,59.0,SON
2022-09-26,2137209,125688,57302,44631,32113,457727,28.0,SON
2022-09-27,2130597,144453,38146,29771,58805,452870,56.0,SON
2022-09-28,2136610,132549,41259,36322,53014,454900,44.0,SON
2022-09-29,2175109,104734,42153,42999,35968,453662,73.0,SON
2022-09-30,2157214,116086,39614,30083,51427,460271,3.0,SON
2022-10-03,2143033,128089,36356,25064,25370,496777,9.0,SON
2022-10-04,2162616,105365,39685,23056,40716,483226,34.0,SON
2022-10-05,2163483,116453,37675,23773,32500,480811,3.0,SON
2022-10-06,2113603,160379,48459,26335,27933,477988,1.0,SON
2022-10-07,2152483,122980,47146,28215,28547,475327,,SON
2022-10-10,2147846,116928,37603,25530,25345,501417,29.0,SON
2022-10-11,2136778,101556,47018,26631,30190,512410,115.0,SON
2022-10-12,2129108,121459,44265,24870,38883,496072,41.0,SON
2022-10-13,2129450,113866,50500,24444,29206,507231,1.0,SON
2022-10-14,2131079,102700,44946,28503,24381,523065,24.0,SON
2022-10-17,2070917,94127,43435,27860,46167,572153,39.0,SON
2022-10-18,2040974,115495,54060,25870,40006,578272,21.0,SON
2022-10-19,2032732,117552,43739,29486,37939,593220,30.0,SON
2022-10-20,2055377,93999,49605,27397,31991,596328,1.0,SON
2022-10-21,2046807,88232,46113,26568,37382,609577,19.0,SON
2022-10-24,2020813,92978,42985,28279,40137,629335,171.0,SON
2022-10-26,2016094,83599,46987,30301,40852,636865,,SON
2022-10-27,1987137,97257,43311,26208,48192,652571,22.0,SON
2022-10-28,2012809,77977,38910,28473,45173,651325,31.0,SON
2022-10-31,1964638,119493,47251,27530,42460,653285,41.0,SON
2022-11-01,1986012,99946,44200,32689,42738,649001,112.0,SON
2022-11-02,2016040,82671,36820,32784,49764,636591,28.0,SON
2022-11-03,1987574,95106,40423,29253,43551,658776,15.0,SON
2022-11-04,1964223,110848,44332,26591,34130,674404,170.0,SON
