,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-05,1172282,118142,89908,39440,114956,1287959,32011.0,DJF
2022-01-06,1143239,104738,90431,32990,132312,1322284,28704.0,DJF
2022-01-07,1120465,99247,95786,28333,131090,1345798,33979.0,DJF
2022-01-12,1183619,146491,70142,21286,66823,1339349,26988.0,DJF
2022-01-13,1191937,155080,88110,32675,57168,1289556,40172.0,DJF
2022-01-14,1190027,137746,117563,33464,51993,1283107,40798.0,DJF
2022-01-20,1159851,140013,140924,40149,57547,1271528,44686.0,DJF
2022-01-21,1153911,120719,118811,52105,88698,1280067,40387.0,DJF
2022-01-26,1232613,166911,161493,31815,69457,1151545,40864.0,DJF
2022-01-27,1197099,161317,167593,47844,105385,1137084,38376.0,DJF
2022-01-28,1170943,186725,145590,35478,165716,1113140,37106.0,DJF
2022-02-02,1191023,147312,97235,25712,77552,1291655,24209.0,DJF
2022-02-03,1198874,144566,86961,26790,60607,1312000,24900.0,DJF
2022-02-04,1217912,124876,81833,17156,74512,1302579,35830.0,DJF
2022-02-09,1242046,165604,118663,26742,49715,1212624,39304.0,DJF
2022-02-10,1264197,155505,129603,37744,52021,1170563,45065.0,DJF
2022-02-11,1264369,168009,111755,48317,59428,1181667,21153.0,DJF
2022-02-16,1206787,182060,130383,46870,58465,1194389,35744.0,DJF
2022-02-17,1190790,175410,117477,33322,62472,1254952,20275.0,DJF
2022-02-18,1157524,188487,125735,40748,101426,1206235,34543.0,DJF
2022-02-23,1053130,124224,121803,26624,152725,1340847,35345.0,DJF
2022-02-24,1043137,127458,121808,24864,141150,1362521,33760.0,DJF
2022-02-25,1045162,141192,129953,27457,110917,1363718,36299.0,DJF
2022-03-02,1089393,112760,121477,32885,111060,1350573,36550.0,MAM
2022-03-03,1080171,114981,154146,37079,90341,1334813,43167.0,MAM
2022-03-04,1092128,108716,137040,33032,92977,1348150,42655.0,MAM
2022-03-09,1126290,134354,94762,34832,85281,1333031,46148.0,MAM
2022-03-10,1150641,141711,108595,28339,84520,1302054,38838.0,MAM
2022-03-11,1131586,164072,114646,29526,72086,1298034,44748.0,MAM
