,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-06,1157576,90002,73865,58205,126228,1320018,28804.0,DJF
2022-01-07,1134336,102117,57166,58836,134157,1336655,31431.0,DJF
2022-01-10,1126103,104905,64702,47895,124412,1355699,30982.0,DJF
2022-01-13,1229865,122842,75375,50970,75840,1265955,33851.0,DJF
2022-01-14,1213817,116597,86128,57104,60101,1283482,37469.0,DJF
2022-01-17,1063186,160826,109894,88181,103850,1285370,43391.0,DJF
2022-01-21,1162308,107327,100124,88344,78207,1279088,39300.0,DJF
2022-01-24,1228374,133677,111229,73727,74125,1192250,41316.0,DJF
2022-01-27,1275798,135267,100607,67649,106307,1129489,39581.0,DJF
2022-01-28,1214148,151926,94235,64017,146445,1146670,37257.0,DJF
2022-01-31,1174063,119964,96278,78882,163160,1211189,11162.0,DJF
2022-02-03,1199290,121419,97587,55243,84448,1277232,19479.0,DJF
2022-02-04,1199354,123215,86697,52013,90446,1283554,19419.0,DJF
2022-02-07,1250229,140335,92592,52695,45862,1238357,34628.0,DJF
2022-02-10,1320894,131171,97648,52501,54641,1161001,36842.0,DJF
2022-02-11,1327300,138917,104667,58818,63425,1120645,40926.0,DJF
2022-02-14,1298851,134020,112633,80068,110396,1085319,33411.0,DJF
2022-02-17,1202516,131373,118323,96058,101991,1171322,33115.0,DJF
2022-02-18,1200191,125949,117034,79706,82896,1230670,18252.0,DJF
2022-02-21,1089895,131517,105906,80468,171110,1243629,32173.0,DJF
2022-02-24,1063803,113498,93627,64909,133811,1356123,28927.0,DJF
2022-02-25,1062742,115693,96612,81632,117946,1349025,31048.0,DJF
2022-02-28,1060785,121989,93678,67088,125673,1344734,40751.0,DJF
2022-03-03,1092033,115084,90037,59420,135059,1328593,34472.0,MAM
2022-03-04,1100330,110520,87303,64770,124307,1330485,36983.0,MAM
2022-03-07,1108308,111943,86878,58065,132711,1321827,34966.0,MAM
2022-03-10,1159507,120700,92649,53484,113383,1280421,34554.0,MAM
2022-03-11,1184694,131332,86458,56239,89242,1268623,38110.0,MAM
2022-03-14,1157293,154669,95747,63383,149545,1193945,40116.0,MAM
2022-03-17,1257136,183803,137661,59687,88575,1088034,39802.0,MAM
2022-03-18,1245376,161115,145382,76854,97522,1086202,42247.0,MAM
2022-03-21,1291503,154484,146624,71363,109681,1045068,35975.0,MAM
2022-03-24,1205931,132793,101224,81186,136630,1162396,34538.0,MAM
2022-03-25,1177687,126886,104011,83409,162650,1166131,33924.0,MAM
2022-03-28,1109315,112653,115694,77613,129849,1281441,28133.0,MAM
2022-03-31,1054824,119945,91827,80827,171795,1304449,31031.0,MAM
2022-04-01,1013169,128622,108226,85628,163273,1323535,32245.0,MAM
2022-04-04,1056502,99660,84140,63635,129056,1390190,31515.0,MAM
2022-04-07,1085192,109248,89114,61220,98440,1377789,33695.0,MAM
2022-04-08,1101890,93458,79908,54749,103614,1388893,32186.0,MAM
2022-04-11,1096135,93711,102316,64157,89431,1374214,34734.0,MAM
2022-04-22,1139585,92106,68080,42525,91265,1374516,46621.0,MAM
2022-04-25,1115603,90763,67460,40854,82489,1412846,44683.0,MAM
2022-04-28,1069478,94201,73927,49631,99795,1422685,44981.0,MAM
2022-04-29,1048394,99043,78524,54916,103140,1425938,44743.0,MAM
2022-05-02,1004389,99393,84783,58906,121731,1438706,46790.0,MAM
2022-05-05,971897,100431,72913,54719,102750,1529929,22059.0,MAM
2022-05-06,969047,97417,78145,59448,124108,1478302,48231.0,MAM
2022-05-09,993113,92267,97173,63838,103254,1456967,48086.0,MAM
2022-05-12,998165,95276,100944,59818,110548,1442747,47200.0,MAM
2022-05-13,1021517,94283,95789,54177,95818,1449827,43287.0,MAM
2022-05-16,1044584,97250,135309,66235,115227,1351615,44478.0,MAM
2022-05-19,1043365,109853,102176,69786,161884,1324025,43609.0,MAM
2022-05-23,1040560,145996,137486,85530,157139,1243173,44814.0,MAM
2022-05-27,1162386,151734,128444,81643,137397,1149493,43601.0,MAM
2022-06-02,1244402,183636,205989,80943,124069,970820,44839.0,JJA
2022-06-03,1276459,184008,208259,67463,118222,956116,44171.0,JJA
2022-06-10,1501809,181222,141046,59546,90936,847036,33103.0,JJA
2022-06-13,1525630,168285,112178,55577,117724,845844,29460.0,JJA
2022-06-16,1570064,130264,101789,59598,117558,846747,28678.0,JJA
2022-06-17,1547595,153336,105916,65724,118010,835596,28521.0,JJA
2022-06-20,1597209,145625,113654,55846,112730,803043,26591.0,JJA
2022-06-23,1661333,165714,127117,60388,77660,739027,23459.0,JJA
2022-06-24,1697650,164218,133858,50679,80759,705067,22467.0,JJA
2022-06-27,1790171,153771,106255,63557,46168,676479,18297.0,JJA
2022-06-30,1779929,188149,94164,36005,43715,691521,21215.0,JJA
2022-07-01,1765197,179637,94955,45044,55353,694365,20147.0,JJA
2022-07-04,1815857,147405,68109,51632,54447,700198,17050.0,JJA
2022-07-07,1806014,161714,75811,47563,68398,684003,11195.0,JJA
2022-07-08,1931368,121254,47795,34036,55443,653489,11313.0,JJA
2022-07-11,1815117,156864,73555,58242,68670,671649,10601.0,JJA
2022-07-14,1944973,132477,59122,33278,31421,643769,9658.0,JJA
2022-07-15,1889718,161204,72542,42208,38737,642210,8079.0,JJA
2022-07-18,1924400,184092,58201,42590,53407,587029,4979.0,JJA
2022-07-21,1984879,165880,51152,35446,58157,553773,5411.0,JJA
2022-07-22,2012747,153466,44782,30734,52964,556440,3565.0,JJA
2022-07-25,2034160,122900,67440,39948,39606,549814,830.0,JJA
2022-07-28,2042864,122697,69218,43003,48148,528071,697.0,JJA
2022-07-29,2051710,113991,69196,47163,52236,519951,451.0,JJA
2022-08-01,2104538,120177,35531,28799,43895,519865,1893.0,JJA
2022-08-04,2091787,125859,37615,24972,31102,543180,183.0,JJA
2022-08-05,2110014,112210,41630,25654,35904,529199,87.0,JJA
2022-08-08,2074692,135252,45454,34313,52589,512288,110.0,JJA
2022-08-11,2066004,154594,41212,29273,53139,510340,136.0,JJA
2022-08-12,2090533,141022,43469,33385,38940,507238,111.0,JJA
2022-08-15,2092373,111154,48784,33265,50775,518239,108.0,JJA
2022-08-18,2116572,114618,39370,48863,45977,489273,25.0,JJA
2022-08-19,2121627,105617,40121,40088,46849,500396,,JJA
2022-08-22,2145497,106453,39248,45009,43862,474629,,JJA
2022-08-25,2108787,104250,52907,47165,62506,478698,385.0,JJA
2022-08-26,2105743,95121,48195,54583,62900,487776,380.0,JJA
2022-08-29,2089525,90940,50252,55446,75317,493054,164.0,JJA
2022-09-01,2099501,99611,42150,43883,56786,512557,210.0,SON
2022-09-02,2090601,99868,49527,52683,67458,494354,207.0,SON
2022-09-05,2061250,116168,59312,41402,60561,515773,232.0,SON
2022-09-08,2077151,100149,59764,50538,67100,499950,46.0,SON
2022-09-09,2063400,83563,73475,54946,66077,513028,209.0,SON
2022-09-12,2053827,81481,70389,47978,83458,517565,,SON
2022-09-15,2044407,90294,50070,52680,72120,544892,235.0,SON
2022-09-16,2023527,84541,57483,66316,81716,540822,293.0,SON
2022-09-19,2054431,78295,50730,49882,68326,552840,194.0,SON
2022-09-22,2079074,82276,54494,37025,64813,536954,62.0,SON
2022-09-23,2095923,78544,55224,35847,59400,529714,46.0,SON
2022-09-26,2114343,129493,32142,32834,57654,488183,49.0,SON
2022-09-29,2188573,96480,45851,46589,36398,440634,173.0,SON
2022-09-30,2202402,82990,47420,40085,37208,444558,35.0,SON
2022-10-03,2168634,91672,40933,30778,50760,471723,198.0,SON
2022-10-06,2179597,114761,30761,25887,32002,471653,37.0,SON
2022-10-07,2174848,119543,34586,26650,31354,467589,128.0,SON
2022-10-10,2192004,75863,49510,24491,28922,483900,8.0,SON
2022-10-13,2168324,87746,41894,21034,25310,510163,227.0,SON
2022-10-14,2160547,78587,35964,22105,29237,528231,27.0,SON
2022-10-17,2100212,78816,42112,30189,41256,562054,59.0,SON
2022-10-20,2080464,59986,34259,32674,42200,604807,308.0,SON
2022-10-21,2079255,63821,36766,29252,40024,605381,199.0,SON
2022-10-24,2022231,69894,46888,32904,48588,633811,382.0,SON
2022-10-27,2004152,67752,44212,37080,48283,652816,403.0,SON
2022-10-28,1979405,72218,43708,37647,52769,668555,396.0,SON
2022-10-31,2008552,60323,39102,33228,43796,669239,458.0,SON
2022-11-03,2029188,71681,40560,35921,48535,626423,2390.0,SON
2022-11-04,2005510,65207,43457,38175,44244,655182,2923.0,SON
2022-11-07,1923824,85461,51941,36252,62543,686299,8378.0,SON
2022-11-10,1873155,105628,55733,37179,61453,707950,13600.0,SON
2022-11-11,1855994,116227,63492,32481,51223,723712,11569.0,SON
2022-11-14,1845670,92635,48995,33963,55253,763892,14290.0,SON
2022-11-17,1784747,113593,58861,36131,63162,788447,9757.0,SON
2022-11-18,1739746,133927,66300,39159,70163,796081,9322.0,SON
2022-11-21,1768999,113119,64335,42886,65700,790995,8664.0,SON
2022-11-24,1735734,119530,63166,42268,78928,806321,8751.0,SON
2022-11-28,1756442,115058,61552,37454,67935,813568,2689.0,SON
2022-12-01,1768648,120829,55549,35813,66025,794369,13465.0,DJF
2022-12-02,1791544,115374,65286,37707,70612,760245,13930.0,DJF
2022-12-05,1780696,139841,60386,45597,72309,743155,12714.0,DJF
2022-12-08,1689256,96426,77041,58453,88643,832827,12052.0,DJF
2022-12-09,1633905,99513,76906,51373,113273,869260,10468.0,DJF
2022-12-12,1566842,125943,68635,46213,124247,911176,11642.0,DJF
2022-12-15,1528171,97564,78225,66543,98594,972641,12960.0,DJF
2022-12-16,1531298,109823,81302,58650,84804,975405,13416.0,DJF
2022-12-19,1516906,129858,74375,40315,56078,1021324,15842.0,DJF
2022-12-22,1466182,104091,96141,61908,93276,1016516,16584.0,DJF
2022-12-23,1413575,100887,86177,54971,100454,1082105,16529.0,DJF
2022-12-30,1451738,143991,99186,56017,85512,988943,29311.0,DJF
