,0,1,2,3,4,5,6
20220103,1362563,154868,66886,77546,192930,1150879,205592
20220104,1342778,135697,73066,77726,182876,1193309,205812
20220105,1331145,112010,85231,69522,165967,1240533,206856
20220106,1326471,108795,82104,55792,119929,1311531,206642
20220107,1318969,109033,89779,60866,104226,1321964,206427
20220110,1342182,86070,82212,78175,105990,1295601,221034
20220111,1327996,123834,73670,61940,111641,1292623,219560
20220112,1344631,152946,92318,51774,89663,1261698,218234
20220113,1413270,119755,75032,45502,69070,1318613,170022
20220114,1176071,262222,192051,48159,72338,1237608,222815
20220117,1302385,139679,140003,78766,117279,1209930,223222
20220118,1343801,107184,139365,74643,99185,1222214,224872
20220119,1349465,132337,79371,103455,113631,1211888,221117
20220120,1338071,148869,97016,95810,93925,1216909,220664
20220121,1292371,145327,90168,121323,102745,1236047,223283
20220124,1383949,217082,146885,52626,136164,1054502,220056
20220125,1398639,211164,165576,81401,138985,1000368,215131
20220126,1403306,214353,208411,76879,114586,978211,215518
20220127,1412344,179373,208991,85087,131166,976560,217743
20220128,1347971,184590,177960,112901,176713,1038652,172477
20220131,1355464,128208,117176,96481,163464,1155133,195338
20220201,1374099,111023,120818,92513,140023,1176117,196671
20220202,1407822,94974,92835,49955,164530,1185617,215531
20220203,1359841,119669,80890,75606,132933,1221150,221175
20220204,1357008,123693,69400,81836,118638,1239065,221624
20220207,1405573,157804,142583,9702,72984,1208757,213861
20220208,1438876,132251,108012,53584,95100,1155730,227711
20220209,1430353,173475,69731,56450,117750,1179913,183592
20220210,1448917,161825,116914,58858,121767,1082257,220726
20220211,1446265,164062,126163,72007,126066,1057824,218877
20220214,1359906,207180,112944,99128,100209,1112268,219629
20220215,1342895,185722,99709,77617,106238,1207105,191978
20220216,1301661,199345,113374,104745,143845,1127871,220423
20220217,1238756,221542,148271,64989,204519,1110598,222589
20220218,1240617,219601,125932,116638,181631,1104861,221984
20220221,1229295,187041,72268,70522,151555,1276660,223923
20220222,1217351,158474,84522,74202,164832,1281829,230054
20220223,1223453,147206,109009,62710,165927,1270738,232221
20220224,1224829,127792,142277,73821,123496,1279408,239641
20220225,1239491,125610,128784,81201,143015,1252723,240440
