,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-03,1153985,149155,60136,66297,187541,1149643,38230,DJF
2022-01-04,1134212,130581,65875,70488,173404,1192022,38405,DJF
2022-01-05,1122903,103654,78643,65455,159057,1235816,39459,DJF
2022-01-06,1118061,102109,73306,52743,113725,1306532,38511,DJF
2022-01-07,1110559,102481,81464,56540,96954,1318556,38433,DJF
2022-01-10,1134010,82075,75181,73153,102988,1293294,44286,DJF
2022-01-11,1119506,119980,66161,59068,105921,1290690,43661,DJF
2022-01-12,1136141,149040,84554,50067,84192,1258616,42377,DJF
2022-01-13,1205121,115429,65726,43963,66045,1294144,14559,DJF
2022-01-14,967661,256425,180515,47038,70038,1234679,48631,DJF
2022-01-17,1094299,133341,130212,77393,116937,1206410,46395,DJF
2022-01-18,1134748,102575,129346,73177,98613,1219309,47219,DJF
2022-01-19,1141053,127812,73905,99817,110529,1209448,42423,DJF
2022-01-20,1129334,143827,87797,94218,93214,1214340,42257,DJF
2022-01-21,1084284,140464,83764,116028,101820,1233387,45240,DJF
2022-01-24,1175862,209461,138987,51287,133579,1052457,43354,DJF
2022-01-25,1190073,201384,160371,80480,136093,996490,40096,DJF
2022-01-26,1192275,208393,203037,76118,111646,974734,38784,DJF
2022-01-27,1201227,175489,201124,84344,129861,971578,41364,DJF
2022-01-28,1137974,180525,171642,111717,172751,1018437,11941,DJF
2022-01-31,1146977,127310,103390,93415,162746,1145574,25575,DJF
2022-02-01,1165930,110033,107973,88800,139462,1166401,26388,DJF
2022-02-02,1199327,94164,84949,45276,159803,1183595,37873,DJF
2022-02-03,1151725,118642,74224,68013,130831,1219774,41778,DJF
2022-02-04,1148892,122746,63626,73991,116607,1237243,41882,DJF
2022-02-07,1197301,155511,134092,8868,69559,1200152,39504,DJF
2022-02-08,1230400,130482,103289,51346,90647,1152889,45934,DJF
2022-02-09,1222033,171055,64267,54975,113626,1160794,18237,DJF
2022-02-10,1240299,159421,108825,55786,120204,1079720,40732,DJF
2022-02-11,1237825,161702,119489,69099,123524,1055145,38203,DJF
2022-02-14,1151806,201985,109899,94799,98677,1109580,38241,DJF
2022-02-15,1134797,182311,95897,73072,104555,1192615,21740,DJF
2022-02-16,1093563,196528,109848,99707,140508,1126760,38073,DJF
2022-02-17,1030340,218046,144744,61388,200651,1109702,40116,DJF
2022-02-18,1032519,216768,122545,113936,175632,1103984,39603,DJF
2022-02-21,1021197,184805,68067,68374,147390,1275024,40130,DJF
2022-02-22,1009253,157222,79484,71554,160628,1280490,46356,DJF
2022-02-23,1015037,146045,104389,60253,162364,1268857,48042,DJF
2022-02-24,1016413,127453,138304,70077,121615,1278060,53065,DJF
2022-02-25,1031075,125294,124714,79269,139738,1251426,53471,DJF
