,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-04,1396356,139121,108372,72265,142082,1218206,134862.0,DJF
2022-01-05,1372869,121479,100075,82712,151224,1246076,136829.0,DJF
2022-01-06,1354028,111385,103708,78463,136783,1291362,135535.0,DJF
2022-01-07,1359420,117394,98834,62088,100268,1335015,138245.0,DJF
2022-01-11,1374145,126191,99585,70326,85394,1304134,151489.0,DJF
2022-01-12,1377177,158685,111394,60704,84796,1269472,149036.0,DJF
2022-01-13,1407830,164174,124317,72487,63780,1231318,147358.0,DJF
2022-01-14,1430312,128486,108652,64009,62781,1312714,104310.0,DJF
2022-01-19,1381601,138884,157673,65267,77804,1232437,157598.0,DJF
2022-01-20,1386541,137556,111916,91787,97102,1233089,153273.0,DJF
2022-01-21,1370016,134809,119766,86137,111545,1235726,153265.0,DJF
2022-01-25,1445999,196276,179544,61103,120272,1060654,147416.0,DJF
2022-01-26,1437449,190360,191681,76956,151677,1023851,139290.0,DJF
2022-01-27,1431058,194791,174980,118403,142096,1009242,140694.0,DJF
2022-01-28,1436936,163034,165729,114843,161753,1025159,143810.0,DJF
2022-02-01,1403835,133120,144469,69357,125253,1212410,122820.0,DJF
2022-02-02,1409618,132192,141959,63003,121956,1217647,124889.0,DJF
2022-02-03,1433917,119158,112738,50500,123969,1230652,140330.0,DJF
2022-02-04,1401676,127539,105125,77594,75534,1275658,148138.0,DJF
2022-02-08,1436149,179218,145239,55063,57362,1194255,143978.0,DJF
2022-02-09,1469734,159302,122750,76323,80930,1145812,156413.0,DJF
2022-02-10,1480351,172733,105720,79377,87623,1169400,116060.0,DJF
2022-02-11,1496713,165326,150673,70641,106677,1071811,149423.0,DJF
2022-02-15,1409289,190187,155691,95569,93604,1119365,147559.0,DJF
2022-02-16,1386992,172871,135611,83217,81794,1228551,122228.0,DJF
2022-02-17,1348459,180186,153194,112168,120208,1148419,148630.0,DJF
2022-02-18,1294789,198473,160910,101334,167449,1136074,152235.0,DJF
2022-02-22,1271183,141783,123979,69267,142179,1311256,151617.0,DJF
2022-02-23,1259756,130271,124869,82894,133153,1322540,157781.0,DJF
2022-02-24,1260361,146161,128951,85326,96592,1334840,159033.0,DJF
2022-02-25,1271922,137750,169769,77528,66990,1317504,169801.0,DJF
2022-03-01,1307038,109077,125512,77473,206427,1210269,175468.0,MAM
2022-03-02,1314589,113880,143300,76406,149642,1231083,182364.0,MAM
2022-03-03,1320312,106744,130013,72543,153866,1246776,181010.0,MAM
2022-03-04,1299916,133837,107973,80804,139553,1275839,173342.0,MAM
2022-03-08,1315898,152507,100575,63458,113191,1295094,170541.0,MAM
2022-03-09,1338664,156472,107434,75086,106576,1253371,173661.0,MAM
2022-03-10,1349396,180801,111294,78177,76580,1242480,172536.0,MAM
2022-03-11,1361113,172017,137953,82488,81149,1200855,175689.0,MAM
2022-03-15,1467496,125086,152654,87829,90642,1121220,166337.0,MAM
2022-03-16,1448141,141564,141702,100801,100445,1104009,174602.0,MAM
2022-03-17,1446605,175999,189209,60491,92444,1075048,171468.0,MAM
2022-03-18,1436718,169786,189352,90044,85275,1071883,168206.0,MAM
2022-03-22,1444841,183253,175805,79386,143914,1024861,159204.0,MAM
2022-03-23,1421298,165665,183824,96281,141971,1046329,155896.0,MAM
2022-03-24,1380827,166647,168699,88098,202640,1056226,148127.0,MAM
2022-03-25,1361487,157767,152623,83487,167622,1139208,149070.0,MAM
2022-03-29,1260058,165219,142068,98628,170985,1228302,146004.0,MAM
2022-03-30,1211523,157177,171799,97935,180627,1246516,145687.0,MAM
2022-03-31,1235630,150039,149773,97942,146264,1280413,151203.0,MAM
2022-04-01,1246240,126750,129888,103415,166594,1287844,150533.0,MAM
2022-04-05,1282378,125787,133443,56704,200416,1235096,177440.0,MAM
2022-04-06,1302362,111939,120987,63811,104123,1327336,180706.0,MAM
2022-04-07,1275780,122556,142901,75104,66391,1349545,178987.0,MAM
2022-04-08,1268209,123448,112835,65298,113291,1345831,182352.0,MAM
2022-04-12,1341009,123936,150748,64699,77920,1309763,143189.0,MAM
2022-04-13,1315032,117538,151497,67306,89191,1281636,189064.0,MAM
2022-04-20,1346347,123497,93423,52807,85936,1344953,164301.0,MAM
2022-04-21,1351453,112154,97064,44076,86470,1355359,164688.0,MAM
2022-04-22,1338855,112549,90552,53879,84064,1366593,164772.0,MAM
2022-04-26,1288454,108640,101348,54420,114249,1385815,158338.0,MAM
2022-04-27,1261544,102245,105428,63585,115539,1406760,156163.0,MAM
2022-04-28,1228622,110134,99430,66573,112885,1429172,164448.0,MAM
2022-04-29,1221108,113879,121766,61985,95229,1432066,165231.0,MAM
2022-05-03,1186643,123693,113379,56675,79473,1535711,115690.0,MAM
2022-05-04,1178367,123858,119333,71819,102574,1447081,168232.0,MAM
2022-05-05,1172397,106968,113442,71224,99269,1482007,165957.0,MAM
2022-05-06,1178572,114250,102427,64849,88311,1495191,167664.0,MAM
2022-05-10,1195752,106478,148590,83973,122010,1385807,168654.0,MAM
2022-05-11,1206299,112329,142630,75307,102648,1409083,162968.0,MAM
2022-05-12,1205770,116900,139768,69235,94623,1434231,150737.0,MAM
2022-05-13,1252328,107583,135951,61102,106655,1438542,109103.0,MAM
2022-05-19,1213103,150783,142279,91748,176431,1300648,136272.0,MAM
2022-05-20,1207860,158063,181740,96347,176703,1238954,151597.0,MAM
2022-05-24,1267012,188558,140820,88606,181546,1180882,163840.0,MAM
2022-05-25,1290796,185079,136692,105129,184499,1144915,164154.0,MAM
2022-05-31,1423935,180020,229130,129060,173913,908601,166605.0,MAM
2022-06-01,1438887,178717,249857,101606,147709,929043,165445.0,JJA
2022-06-02,1435275,204427,200195,106102,141721,967542,156002.0,JJA
2022-06-03,1443549,208407,192720,108185,136947,967328,154128.0,JJA
2022-06-08,1683246,232111,176910,58714,98505,835681,126097.0,JJA
2022-06-09,1667631,241403,147471,75083,108072,852170,119434.0,JJA
2022-06-10,1690254,251062,125811,76192,106322,843063,118560.0,JJA
2022-06-14,1771897,187599,123379,71571,121729,826454,108635.0,JJA
2022-06-15,1714820,245103,120304,81854,123771,816537,108875.0,JJA
2022-06-16,1760641,213437,115054,71607,129115,814958,106452.0,JJA
2022-06-17,1764676,216666,121011,69593,136896,797965,104457.0,JJA
2022-06-21,1845302,198831,148046,71759,108199,735958,103169.0,JJA
2022-06-22,1891249,203282,149752,60807,100894,700326,104954.0,JJA
2022-06-23,1908262,224389,124384,74356,85144,698495,96234.0,JJA
2022-06-24,1953623,216021,114056,65364,73761,695407,93032.0,JJA
2022-06-28,2038789,213271,106502,37921,32203,690058,92520.0,JJA
2022-06-29,2054334,188778,105423,46967,34595,691949,89218.0,JJA
2022-06-30,2028560,214132,103602,46024,41762,688374,88810.0,JJA
2022-07-01,2075459,172289,105135,47419,38851,684883,87228.0,JJA
2022-07-05,2031787,235093,108967,52455,75473,665589,41900.0,JJA
2022-07-06,2254415,115959,59050,39610,56639,646048,39543.0,JJA
2022-07-07,2042017,278026,77951,46741,65971,657057,43501.0,JJA
2022-07-08,2219941,123442,71695,47259,62994,643589,42344.0,JJA
2022-07-12,2269429,115223,73732,35892,46206,648819,21963.0,JJA
2022-07-13,2076670,242902,107459,47772,59638,638606,38217.0,JJA
2022-07-14,2057796,288398,108765,44782,58851,614082,38590.0,JJA
2022-07-15,2074436,307839,90942,44781,48115,608747,36404.0,JJA
2022-07-19,2190146,282858,57458,31080,67501,556196,26025.0,JJA
2022-07-20,2203821,275136,52492,24112,54881,566549,34273.0,JJA
2022-07-21,2207287,254268,78259,33386,44683,561653,31728.0,JJA
2022-07-22,2237221,247117,84468,32192,40769,552318,17179.0,JJA
2022-07-26,2291675,219779,89576,39059,45368,512936,12871.0,JJA
2022-07-27,2329763,180878,90524,37585,46500,512151,13863.0,JJA
2022-07-28,2316664,196024,81528,45361,49243,508600,13844.0,JJA
2022-07-29,2310233,225352,66267,31679,48590,515559,13584.0,JJA
2022-08-02,2428638,131380,39418,26729,37991,544005,3103.0,JJA
2022-08-03,2441141,122798,46381,25715,43992,528380,2857.0,JJA
2022-08-04,2442163,127902,42261,32185,46007,517941,2805.0,JJA
2022-08-05,2439287,137199,36590,31663,45964,518473,2088.0,JJA
2022-08-09,2294362,267371,45484,23550,58587,513542,8368.0,JJA
2022-08-10,2348030,217004,51123,31655,40499,514762,8191.0,JJA
2022-08-11,2352971,225838,44132,31546,38409,512547,5821.0,JJA
2022-08-12,2394092,179540,47059,34204,39040,511591,5738.0,JJA
2022-08-16,2365040,201385,43270,45785,52024,499822,3938.0,JJA
2022-08-17,2412400,161734,45702,36386,42649,512064,329.0,JJA
2022-08-18,2418018,163329,41928,36134,42113,509380,362.0,JJA
2022-08-19,2430021,164833,44858,32458,44717,494024,353.0,JJA
2022-08-23,2450776,135075,52708,48339,51517,465898,6951.0,JJA
2022-08-24,2461442,112637,52473,51997,54353,471493,6869.0,JJA
2022-08-25,2453016,109576,52965,52865,66594,469339,6909.0,JJA
2022-08-26,2430682,129658,65025,56045,58097,468392,3365.0,JJA
2022-08-30,2424407,120281,44435,34060,66474,513372,8235.0,JJA
2022-08-31,2414302,115870,53023,45789,67948,505150,9182.0,JJA
2022-09-01,2417648,134794,47732,43178,58546,502563,6803.0,SON
2022-09-02,2394500,154793,52401,39622,37634,524270,8044.0,SON
2022-09-06,2402091,125034,72651,52529,57952,496437,4570.0,SON
2022-09-07,2399105,106738,83637,45607,75339,491526,9312.0,SON
2022-09-08,2437777,79131,74477,48176,73127,498576,,SON
2022-09-09,2434913,74746,79851,45488,71950,504316,,SON
2022-09-13,2375593,115323,58770,58740,64438,531269,7131.0,SON
2022-09-14,2342499,118766,56930,75567,94407,510923,12172.0,SON
2022-09-15,2346932,118478,69881,63497,80455,524861,7160.0,SON
2022-09-16,2394974,83244,67339,57734,79765,520990,7218.0,SON
2022-09-20,2383594,118495,61187,36583,62872,543809,4724.0,SON
2022-09-21,2420366,84621,63156,30250,54828,553415,4628.0,SON
2022-09-22,2426268,84580,53252,35649,56815,550130,4570.0,SON
2022-09-23,2428241,94742,55788,29564,71332,527091,4506.0,SON
2022-09-27,2514055,113524,55211,39953,32847,446995,8679.0,SON
2022-09-28,2555434,69264,61215,37753,32825,450869,3904.0,SON
2022-09-29,2503010,103193,50101,46045,42038,456198,10679.0,SON
2022-09-30,2513811,85045,50907,29431,66614,454761,10695.0,SON
2022-10-04,2472924,137364,48601,24540,36949,486853,4033.0,SON
2022-10-05,2470836,129616,49731,24571,43909,486371,6230.0,SON
2022-10-06,2464002,133147,65018,35130,31956,473307,8704.0,SON
2022-10-07,2486592,131557,62423,37801,29822,458719,4350.0,SON
2022-10-11,2452319,128361,53338,24254,39561,504656,8775.0,SON
2022-10-12,2504920,96152,39896,23126,42851,502429,1890.0,SON
2022-10-13,2499217,108185,39231,20296,31106,506195,7034.0,SON
2022-10-14,2495317,93129,35708,23508,31830,525038,6734.0,SON
2022-10-18,2412780,85414,43139,28259,47731,590316,3625.0,SON
2022-10-19,2395676,101800,47145,27856,49401,585904,3482.0,SON
2022-10-20,2421228,65916,45057,28016,48996,598616,3435.0,SON
2022-10-21,2403101,73306,48710,32205,49602,603181,1159.0,SON
2022-10-25,2340932,87902,64056,31314,37471,639716,9873.0,SON
2022-10-26,2326049,97735,54544,34537,35098,656149,7152.0,SON
2022-10-27,2355255,57680,52055,33462,43686,661874,7252.0,SON
2022-10-28,2355581,64740,50810,29220,39707,663421,7785.0,SON
2022-11-01,2338447,78880,55521,37885,76685,608379,15467.0,SON
2022-11-02,2323817,87369,60224,37926,55046,633838,13044.0,SON
2022-11-03,2282599,112247,57376,27925,52073,659598,19446.0,SON
2022-11-04,2287498,106881,58525,29484,50962,658273,19641.0,SON
2022-11-08,2261027,76653,58505,38463,70015,680809,25792.0,SON
2022-11-09,2234746,80638,64517,35229,64670,703093,28371.0,SON
2022-11-10,2185109,105296,74647,33298,66711,714618,31585.0,SON
2022-11-15,2062938,165182,61559,37170,85099,773511,25805.0,SON
2022-11-16,2053899,173212,61187,51007,72782,771186,27991.0,SON
2022-11-17,2033692,188651,64747,45398,77722,773893,27161.0,SON
2022-11-18,2093523,145031,67543,40174,65133,772308,27552.0,SON
2022-11-22,2043320,151966,63174,48454,77892,804217,22241.0,SON
2022-11-24,2079225,104671,71645,50496,60729,808858,35640.0,SON
2022-11-25,2002349,141468,71681,46884,78195,834394,36293.0,SON
2022-11-29,2042333,139694,64535,32003,78862,805590,48247.0,SON
2022-11-30,2084694,115651,91050,37062,55707,778977,48123.0,SON
2022-12-01,2092708,130006,84389,43928,70442,749402,40389.0,DJF
2022-12-02,2094411,129342,79156,43746,67995,755959,40655.0,DJF
2022-12-06,1990850,186002,94742,54121,77248,771166,37135.0,DJF
2022-12-07,1940795,165045,102598,54827,109766,797389,40844.0,DJF
2022-12-08,1959181,126900,109819,75150,83831,820881,35502.0,DJF
2022-12-09,1922319,123996,104322,50306,135010,831511,43800.0,DJF
2022-12-13,1797649,163880,114947,71933,123664,886155,53036.0,DJF
2022-12-14,1789430,142960,135638,75454,110858,904749,52175.0,DJF
2022-12-15,1770535,156705,141092,62885,127993,913625,38429.0,DJF
2022-12-16,1727741,169438,122247,47194,97373,991503,55768.0,DJF
2022-12-20,1740710,185747,112175,67429,78377,967165,59661.0,DJF
2022-12-21,1669921,195413,110208,64582,78621,1032571,59948.0,DJF
2022-12-22,1676250,187640,132847,62635,112635,971252,68005.0,DJF
2022-12-23,1681039,175025,122746,67407,136198,956762,72087.0,DJF
2022-12-28,1594513,168208,157351,48369,107942,1048937,85944.0,DJF
2022-12-29,1597378,186554,132480,51960,65406,1085209,92277.0,DJF
2022-12-30,1620696,179217,137549,48254,88690,1076218,60640.0,DJF
