,IFOW,OW,VODI,ODI,CDI,VCDI,FI,met_index
2022-01-03,1362563,154868,66886,77546,192930,1150879,205592,DJF
2022-01-04,1342778,135697,73066,77726,182876,1193309,205812,DJF
2022-01-05,1331145,112010,85231,69522,165967,1240533,206856,DJF
2022-01-06,1326471,108795,82104,55792,119929,1311531,206642,DJF
2022-01-07,1318969,109033,89779,60866,104226,1321964,206427,DJF
2022-01-10,1342182,86070,82212,78175,105990,1295601,221034,DJF
2022-01-11,1327996,123834,73670,61940,111641,1292623,219560,DJF
2022-01-12,1344631,152946,92318,51774,89663,1261698,218234,DJF
2022-01-13,1413270,119755,75032,45502,69070,1318613,170022,DJF
2022-01-14,1176071,262222,192051,48159,72338,1237608,222815,DJF
2022-01-17,1302385,139679,140003,78766,117279,1209930,223222,DJF
2022-01-18,1343801,107184,139365,74643,99185,1222214,224872,DJF
2022-01-19,1349465,132337,79371,103455,113631,1211888,221117,DJF
2022-01-20,1338071,148869,97016,95810,93925,1216909,220664,DJF
2022-01-21,1292371,145327,90168,121323,102745,1236047,223283,DJF
2022-01-24,1383949,217082,146885,52626,136164,1054502,220056,DJF
2022-01-25,1398639,211164,165576,81401,138985,1000368,215131,DJF
2022-01-26,1403306,214353,208411,76879,114586,978211,215518,DJF
2022-01-27,1412344,179373,208991,85087,131166,976560,217743,DJF
2022-01-28,1347971,184590,177960,112901,176713,1038652,172477,DJF
2022-01-31,1355464,128208,117176,96481,163464,1155133,195338,DJF
2022-02-01,1374099,111023,120818,92513,140023,1176117,196671,DJF
2022-02-02,1407822,94974,92835,49955,164530,1185617,215531,DJF
2022-02-03,1359841,119669,80890,75606,132933,1221150,221175,DJF
2022-02-04,1357008,123693,69400,81836,118638,1239065,221624,DJF
2022-02-07,1405573,157804,142583,9702,72984,1208757,213861,DJF
2022-02-08,1438876,132251,108012,53584,95100,1155730,227711,DJF
2022-02-09,1430353,173475,69731,56450,117750,1179913,183592,DJF
2022-02-10,1448917,161825,116914,58858,121767,1082257,220726,DJF
2022-02-11,1446265,164062,126163,72007,126066,1057824,218877,DJF
2022-02-14,1359906,207180,112944,99128,100209,1112268,219629,DJF
2022-02-15,1342895,185722,99709,77617,106238,1207105,191978,DJF
2022-02-16,1301661,199345,113374,104745,143845,1127871,220423,DJF
2022-02-17,1238756,221542,148271,64989,204519,1110598,222589,DJF
2022-02-18,1240617,219601,125932,116638,181631,1104861,221984,DJF
2022-02-21,1229295,187041,72268,70522,151555,1276660,223923,DJF
2022-02-22,1217351,158474,84522,74202,164832,1281829,230054,DJF
2022-02-23,1223453,147206,109009,62710,165927,1270738,232221,DJF
2022-02-24,1224829,127792,142277,73821,123496,1279408,239641,DJF
2022-02-25,1239491,125610,128784,81201,143015,1252723,240440,DJF
2022-02-28,1278783,99083,119548,84349,249711,1136245,243545,DJF
2022-03-01,1277553,94530,148355,68654,195516,1178713,247943,MAM
2022-03-02,1287554,96766,128898,70671,203296,1177284,246795,MAM
2022-03-03,1249705,145914,91990,88297,168584,1225480,241294,MAM
2022-03-04,1253789,129786,86626,84045,170988,1244357,241673,MAM
2022-03-07,1272245,176963,60440,56892,105250,1305202,234272,MAM
2022-03-08,1295161,168394,91512,56393,87604,1271355,240845,MAM
2022-03-09,1298307,175878,64730,65119,81962,1284992,240276,MAM
2022-03-10,1322300,178156,117622,47169,68324,1238175,239518,MAM
2022-03-11,1311779,212282,118368,83561,104095,1146027,235152,MAM
2022-03-14,1433697,111231,141979,85303,81774,1125724,231556,MAM
2022-03-15,1410843,137507,124951,90865,96447,1110973,239678,MAM
2022-03-16,1407341,190456,167248,50216,83563,1075601,236839,MAM
2022-03-17,1402503,185739,169737,85319,64629,1068238,235099,MAM
2022-03-18,1465377,202464,167916,72929,54091,1016322,232165,MAM
2022-03-21,1396530,195058,146532,80442,159151,1004336,229215,MAM
2022-03-22,1389454,205119,169301,75225,139982,1003640,228543,MAM
2022-03-23,1346345,213711,134026,78651,199425,1014467,224639,MAM
2022-03-24,1325429,193166,120832,84555,154352,1109176,223754,MAM
2022-03-25,1266392,183109,99105,99817,156532,1184350,221959,MAM
2022-03-28,1211601,179873,112193,85682,218164,1183703,220048,MAM
2022-03-29,1163290,170749,154242,102971,197208,1203487,219317,MAM
2022-03-30,1189452,175229,135647,101927,127456,1258583,222970,MAM
2022-03-31,1200261,139395,115205,99093,168488,1265842,222980,MAM
2022-04-01,1202860,129024,99665,74711,230155,1258875,215974,MAM
2022-04-04,1233137,123594,111686,56306,238246,1200369,247926,MAM
2022-04-05,1258671,108778,110239,54497,148642,1280920,249517,MAM
2022-04-06,1228716,120014,143202,60503,75390,1334329,249110,MAM
2022-04-07,1219765,121306,88642,78358,114527,1339013,249653,MAM
2022-04-08,1212103,125571,85885,64252,129937,1344087,249429,MAM
2022-04-11,1304609,94257,145103,78217,79848,1301492,207738,MAM
