date,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,5.103966714376691,6.873404755379846,8.019758631516932,8.715677100703267,10.238180232873093,1.9187362661380538,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,1157778.0,94765.0,102198.0,76813.0,137021.0,1260973.0,25150.0
2022-01-04,6.234999521519765,6.28731069928107,6.399550099959501,6.669955202991169,8.70101789071702,2.2752561941918987,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1131930.0,101900.0,91598.0,69793.0,147191.0,1290323.0,21963.0
2022-01-05,6.121121060657094,6.564621434558386,7.455934800977093,7.609324154999196,6.847156232544386,2.832924201753193,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1140320.0,103730.0,82133.0,59796.0,128913.0,1322152.0,17654.0
2022-01-10,5.3195930418409345,8.99203811606656,8.169137851773531,8.082997999546366,7.442290741137162,2.9160505505906644,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,1159479.0,130417.0,81190.0,46720.0,90653.0,1330994.0,15245.0
2022-01-11,12.16658510568664,11.566382264141774,11.342425979983242,11.454462292525927,10.190418122457121,1.3355938400726988,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,1163617.0,138500.0,82327.0,53254.0,83618.0,1313415.0,19967.0
2022-01-12,24.544199604303877,11.978643144873582,13.829462878784602,13.068789094528265,10.947729989894599,4.105275686387741,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1166351.0,139933.0,103727.0,56718.0,92077.0,1269477.0,26415.0
2022-01-18,8.14355904559371,9.126020927964918,9.46378907321143,10.160793280790623,7.556144336153062,1.8007738834416536,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,1138067.0,134019.0,126360.0,83315.0,87364.0,1256811.0,28762.0
2022-01-19,6.495956892321061,9.233938100650219,9.109410045974535,11.117064046472334,7.559449575644865,2.64761656896249,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,1157434.0,116475.0,99522.0,66312.0,127310.0,1268109.0,19536.0
2022-01-24,10.916510879119404,10.516107782964552,16.907676604871885,18.17141930921283,16.79465197149971,0.5255559436103437,1241986.0,208393.0,203037.0,76118.0,111646.0,974734.0,38784.0,1217633.0,179582.0,129816.0,69990.0,120686.0,1096629.0,40362.0
2022-01-25,9.858354735983943,11.105954015723096,14.674143909312905,13.769342321131152,11.8368882197808,0.5694917962719089,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,1208940.0,174799.0,151680.0,80564.0,139894.0,1061152.0,37669.0
2022-01-26,9.179937894899847,14.512632283944079,16.004786628857048,13.169131732134693,10.051569093707071,1.5520325638291568,1187685.0,180525.0,171642.0,111717.0,172751.0,1018437.0,11941.0,1195789.0,164325.0,146326.0,108186.0,147756.0,1066480.0,25836.0
2022-01-31,12.957402656346913,12.373477508165108,10.204822001743342,10.035474288934925,10.914868283382592,2.3431317964413148,1249038.0,94164.0,84949.0,45276.0,159803.0,1183595.0,37873.0,1156949.0,130479.0,99203.0,64926.0,134963.0,1250934.0,17244.0
2022-02-01,7.31581768672985,9.552058930393235,9.158414946413128,8.769014304451355,11.317881304256376,2.5667285092310435,1201436.0,118642.0,74224.0,68013.0,130831.0,1219774.0,41778.0,1187967.0,138023.0,86991.0,60871.0,124014.0,1239936.0,16896.0
2022-02-02,5.235508302845593,7.696995119016487,7.670140124344484,6.800612971754685,9.896231308205225,2.153151692159005,1198603.0,122746.0,63626.0,73991.0,116607.0,1237243.0,41882.0,1193831.0,111077.0,86605.0,56517.0,92004.0,1291277.0,23387.0
2022-02-07,11.94303641117098,10.76798991682522,9.910749969140793,10.83362964067686,12.793701782314532,2.8757409872901976,1271744.0,171055.0,64267.0,54975.0,113626.0,1160794.0,18237.0,1196636.0,182808.0,92087.0,51250.0,77396.0,1221683.0,32838.0
2022-02-08,8.70491133592,7.839213206460945,9.967103083866132,10.314136978853664,12.71267862155327,1.3989453339520919,1290010.0,159421.0,108825.0,55786.0,120204.0,1079720.0,40732.0,1254704.0,159664.0,98471.0,60057.0,83258.0,1164426.0,34118.0
2022-02-09,7.552894319490482,8.451625116550765,11.14566541940966,11.820391892871577,11.053593466852938,2.2949682727222878,1287536.0,161702.0,119489.0,69099.0,123524.0,1055145.0,38203.0,1223222.0,176389.0,88795.0,60956.0,115657.0,1173065.0,16614.0
2022-02-14,5.823976589404541,8.088328093578166,7.5473687644944745,7.796505893006065,4.617595023100325,0.47235328917125474,1143274.0,196528.0,109848.0,99707.0,140508.0,1126760.0,38073.0,1183583.0,141493.0,121110.0,81626.0,133609.0,1160654.0,32623.0
2022-02-15,13.42248160805823,14.774065061275143,17.398064515865197,18.29341814778478,13.878189904639855,2.4292621257464053,1080051.0,218046.0,144744.0,61388.0,200651.0,1109702.0,40116.0,1188818.0,146346.0,114783.0,68830.0,99761.0,1217830.0,18330.0
2022-02-16,7.711835684145215,9.9697129384717,11.024131760258708,10.775675272868597,6.5945956808276955,0.696860882707483,1082230.0,216768.0,122545.0,113936.0,175632.0,1103984.0,39603.0,1146038.0,151871.0,141240.0,117815.0,111881.0,1153359.0,32494.0
2022-02-21,4.097637641536805,8.459602320824553,7.0947568458829435,7.563143943282052,12.618954174929724,3.3409407638141224,1064748.0,146045.0,104389.0,60253.0,162364.0,1268857.0,48042.0,1050779.0,121623.0,118972.0,68460.0,134752.0,1343341.0,16771.0
2022-02-22,5.33129074086538,8.635018448205086,11.616236129250325,11.70248881070117,12.050249622000088,4.461138689301125,1066124.0,127453.0,138304.0,70077.0,121615.0,1278060.0,53065.0,1048875.0,119108.0,114967.0,74897.0,122399.0,1356269.0,18183.0
2022-02-23,6.770605037133818,10.521132376120445,11.891900665562563,10.257884693648707,12.04734215426016,4.1087948992267345,1080786.0,125294.0,124714.0,79269.0,139738.0,1251426.0,53471.0,1046065.0,134871.0,123855.0,68844.0,99443.0,1360202.0,21418.0
2022-02-28,8.801107867163159,9.743618011982798,14.531182756623151,14.070549786731506,24.446512550003217,5.285411701285328,1128849.0,96746.0,126702.0,69176.0,201887.0,1174010.0,57328.0,1084132.0,109711.0,108381.0,72456.0,151041.0,1306260.0,22717.0
2022-03-01,7.646359704950911,9.788209560891142,10.292804219004855,9.804377185651113,12.574704837197055,3.31292137677067,1091000.0,145159.0,89546.0,86079.0,166721.0,1223505.0,52688.0,1073190.0,115962.0,115840.0,70360.0,137511.0,1316950.0,24885.0
2022-03-02,8.400739147682692,10.331349874948557,10.794783438429668,10.606561125340555,13.998803471638114,3.3569030905182644,1095402.0,129287.0,85263.0,81174.0,168535.0,1242358.0,52679.0,1091860.0,109542.0,111981.0,59815.0,111166.0,1344809.0,25525.0
2022-03-07,3.9655199202283757,7.694378136924424,8.28936116345425,9.452058681116538,7.762595074975361,2.541536937972595,1139602.0,173365.0,63277.0,62886.0,81234.0,1283005.0,51329.0,1124496.0,143432.0,92547.0,57015.0,100059.0,1312150.0,24999.0
2022-03-08,4.320618093472428,7.345753987640108,11.047434459865286,10.540339107609174,9.255646171118387,2.5842211093507688,1163595.0,175882.0,115835.0,46413.0,67908.0,1234810.0,50255.0,1161108.0,158783.0,99701.0,58919.0,83808.0,1265278.0,27101.0
2022-03-09,4.999420576489774,9.998841152979548,14.888399946240087,18.16165272571849,19.72576425761589,1.7886998267645404,1153392.0,210624.0,114958.0,83193.0,103357.0,1140891.0,48283.0,1135279.0,160013.0,96533.0,44016.0,102938.0,1279799.0,36120.0
2022-03-14,6.887101239875723,10.39787175247844,15.61552961363765,16.120425696320346,15.886002544715797,2.192961861293029,1248798.0,189690.0,162806.0,49997.0,83513.0,1071407.0,48487.0,1285686.0,169736.0,159824.0,69795.0,72919.0,1066352.0,30386.0
2022-03-15,5.766194697275355,9.251128077529453,17.18812015823742,17.204531295911963,15.783666314076038,2.1485008722471997,1243960.0,185052.0,165232.0,85039.0,64374.0,1064098.0,46943.0,1276673.0,153167.0,139519.0,99224.0,82668.0,1070903.0,32544.0
2022-03-16,6.171006461971862,11.373979363387194,11.756703173317359,12.638264233241173,11.63181601518236,1.3832438401028229,1306516.0,201379.0,163294.0,72672.0,54020.0,1012075.0,44742.0,1294104.0,187814.0,181134.0,69871.0,71725.0,1018398.0,31652.0
2022-03-21,6.2337999349527955,9.265749981441543,9.819987802922455,8.957625278970802,10.345301756338424,1.3322080825695588,1187802.0,210863.0,130480.0,77606.0,197296.0,1010492.0,40159.0,1177869.0,161188.0,154504.0,91034.0,163467.0,1078590.0,28046.0
2022-03-22,7.593996341223789,9.95941919815067,11.478331249915144,10.155521543055476,8.432541810306311,1.0268939470069076,1166886.0,190647.0,117010.0,83530.0,152023.0,1105752.0,38850.0,1181832.0,136568.0,169808.0,97040.0,129886.0,1110606.0,28958.0
2022-03-23,7.483319189180291,10.175727712371785,11.41823123418744,10.548048299700653,9.108516900739017,0.9725781528746147,1108005.0,181402.0,94402.0,98948.0,154246.0,1179643.0,38052.0,1153972.0,158405.0,153487.0,99565.0,147045.0,1114656.0,27568.0
2022-03-28,7.4610850711603245,10.85782889242313,12.524852652005004,14.565465328403366,10.24290986483395,1.6159212081402674,1030747.0,174206.0,129981.0,100576.0,123725.0,1256421.0,39042.0,1045142.0,139367.0,120881.0,91215.0,170887.0,1261352.0,25854.0
2022-03-29,8.245540315682662,10.19730175982877,10.97045461195482,13.513992643207871,10.793236291053253,1.8202805085374625,1041556.0,138515.0,111575.0,96781.0,163295.0,1263234.0,39742.0,994920.0,147191.0,140673.0,81441.0,178642.0,1287165.0,24666.0
2022-03-30,6.488508090016346,7.565033222735655,9.772701709012392,13.209416709698884,9.915118719847785,2.4027920802209146,1044155.0,128477.0,95582.0,68250.0,222520.0,1256652.0,39062.0,1011328.0,141759.0,120382.0,83427.0,162834.0,1309031.0,25937.0
2022-04-04,9.20878339878496,11.730504666725652,17.378133770076722,15.25271246410707,23.69417247410983,3.111593062947379,1070329.0,119166.0,139020.0,59826.0,75001.0,1332988.0,58368.0,1038426.0,104852.0,109949.0,66407.0,194204.0,1304628.0,36232.0
2022-04-05,5.254630335567415,6.382295734258323,9.835671648794317,10.006109280253568,10.428705571688916,3.0107468417910725,1061378.0,120154.0,86205.0,77308.0,113943.0,1337717.0,57993.0,1086521.0,108087.0,100198.0,61922.0,121884.0,1343530.0,32556.0
2022-04-06,4.807771974920241,8.291263118387903,12.153834050500512,11.244746660415794,7.907072907187828,3.8775615049409877,1053398.0,124422.0,83339.0,63172.0,129389.0,1342783.0,58195.0,1051599.0,99740.0,117733.0,74591.0,97371.0,1387609.0,26055.0
2022-04-11,10.449497616225491,12.148503340497921,15.95362292345478,11.641076296173509,11.50561660531794,2.6126660287944903,1127197.0,93390.0,125469.0,99637.0,90327.0,1279845.0,38833.0,1107499.0,102904.0,122785.0,76921.0,91280.0,1331460.0,21849.0
2022-04-19,5.312365806282735,9.187635275195591,11.367607590102917,11.003568264851193,11.197814532441589,4.069390335426694,1147837.0,101057.0,70654.0,45826.0,76692.0,1360429.0,52203.0,1166208.0,131788.0,67382.0,39685.0,66709.0,1360404.0,22522.0
2022-04-20,5.007121253559521,6.322105519603532,6.801882121605208,6.504901511601235,7.042726152888917,2.9711139414794427,1137741.0,117640.0,58141.0,42852.0,83900.0,1362124.0,52300.0,1140152.0,103833.0,71500.0,42570.0,69020.0,1402904.0,24719.0
2022-04-25,5.560690268849446,5.544301297240511,8.112394616319161,8.844923115197094,11.77562243112343,4.098852533373907,1039311.0,104477.0,80599.0,61748.0,117135.0,1401077.0,50351.0,1057030.0,96637.0,90067.0,59190.0,103099.0,1422731.0,25944.0
2022-04-26,6.275102005932897,6.9771259160371475,12.539756789560743,12.939252684746876,14.090948585896733,3.2454075374678983,1028084.0,107159.0,94837.0,55826.0,95646.0,1422007.0,51139.0,1040610.0,91388.0,91139.0,64833.0,93953.0,1442098.0,30677.0
2022-04-27,6.476610283508856,7.685014308835347,12.339715937910828,14.795255636901475,17.831302004783836,1.5222356895005638,1017583.0,116021.0,118846.0,60691.0,90066.0,1400363.0,51128.0,990986.0,104390.0,98799.0,65612.0,109358.0,1445484.0,40069.0
2022-05-02,4.15708041373247,5.8951315086363705,11.68243251903699,12.264168514496898,13.748030680484442,3.94988840550736,971342.0,115174.0,116063.0,39126.0,104186.0,1458082.0,50725.0,968517.0,118625.0,98293.0,65591.0,85822.0,1496927.0,20923.0
2022-05-03,4.5488874079167205,6.065035675084682,9.140596986275273,9.266297207520553,8.856886275647726,2.548306421900318,974089.0,114902.0,98906.0,55325.0,86711.0,1473176.0,51589.0,950559.0,102624.0,98367.0,70109.0,117627.0,1484735.0,30677.0
2022-05-04,5.017546644472371,6.2676167651186185,11.113652868176356,10.227579019615153,10.526859158996391,2.4697006373725237,988825.0,89292.0,108421.0,43037.0,108406.0,1465131.0,51586.0,964260.0,100422.0,91173.0,67493.0,92508.0,1505106.0,33736.0
2022-05-09,5.7859597629731265,9.083746834138163,12.449592114067892,13.37837160988644,15.190895801671802,2.479950045767746,996577.0,107670.0,133077.0,75417.0,87366.0,1411975.0,42616.0,1008329.0,110423.0,123820.0,78709.0,92494.0,1401961.0,38962.0
2022-05-10,9.03402429664935,10.87355292165047,14.158268511988316,11.690801924855506,12.692460165391815,4.666010079312315,1040068.0,100168.0,123273.0,40123.0,112246.0,1417577.0,21243.0,995377.0,100427.0,112508.0,67037.0,99178.0,1442001.0,38170.0
2022-05-11,8.757966983285757,8.393199517747336,15.804049765910655,14.994492001075566,20.549049026738427,1.4937595634873067,1037565.0,84962.0,178481.0,64968.0,132465.0,1308878.0,47379.0,985328.0,103486.0,118470.0,71851.0,106609.0,1431105.0,37849.0
2022-05-16,5.062121693474967,6.564116428700561,9.828112838721125,10.912734569067865,10.896790355590598,1.560290765751848,1006893.0,156417.0,133931.0,91785.0,144584.0,1276592.0,44496.0,1021369.0,117410.0,135306.0,79058.0,131424.0,1329040.0,41091.0
2022-05-18,2.207591666436797,7.078341503475167,10.112992332837287,10.777821251111488,9.990339812485232,0.8388940552399944,996736.0,160837.0,193048.0,107979.0,144105.0,1202971.0,49022.0,996642.0,124765.0,133206.0,94568.0,156736.0,1309077.0,39704.0
2022-05-23,3.0849681424062827,7.914714760753364,11.617417158239773,12.596422178698559,11.213689542484074,0.751735997852282,1090660.0,161989.0,179854.0,109740.0,153414.0,1111264.0,47777.0,1068970.0,148501.0,120001.0,95652.0,168948.0,1211332.0,41294.0
2022-05-25,11.949523103311453,9.492024461636305,12.530766788296955,15.611776725368626,15.871018069222892,2.009291193094438,1080230.0,224638.0,222932.0,146289.0,156104.0,974520.0,49985.0,1111670.0,177428.0,166451.0,88503.0,167570.0,1101768.0,41308.0
2022-05-30,1.9260966870038836,5.21255068570652,7.516152868430163,5.677110747482607,6.30326945075266,0.6006765057886636,1224514.0,188593.0,181836.0,117522.0,143254.0,954133.0,44846.0,1204867.0,174994.0,225343.0,111087.0,166085.0,925521.0,46801.0
2022-05-31,2.069553823588182,6.793277761556451,9.052558410493107,6.38732798790885,6.176209797242418,0.672855672728479,1228900.0,189760.0,168713.0,128473.0,135986.0,958392.0,44474.0,1220985.0,171200.0,231724.0,97050.0,159170.0,929655.0,44914.0
2022-06-01,3.3166170641691473,6.360688126862175,8.422016104952474,7.549100044777258,5.487175540905517,0.7275626114307785,1237762.0,228298.0,149653.0,114498.0,130153.0,950466.0,43868.0,1257323.0,208139.0,193467.0,98694.0,114774.0,947380.0,34921.0
2022-06-07,5.775519403216982,7.947744939852672,9.498153464097982,8.638514064505108,7.803132704407142,0.9756255884318725,1480963.0,234196.0,103818.0,61531.0,95933.0,843639.0,34618.0,1509102.0,203441.0,158637.0,58392.0,105403.0,791599.0,28124.0
2022-06-08,7.027723116898339,10.589745614264192,8.820785321801734,8.10879252759446,6.464458849995655,0.3765387744331935,1506200.0,222313.0,93716.0,58073.0,100763.0,840138.0,33495.0,1445777.0,193890.0,149754.0,72594.0,114528.0,846322.0,31833.0
