date,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,4.8463849304932225,6.707168319937908,7.898408453388647,8.690269785242709,10.199101361950426,2.1913204648648987,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,1168947.0,94352.0,97591.0,73928.0,124748.0,1272359.0,22773.0
2022-01-04,5.178246521519451,6.221557677127139,6.738060547913809,6.53587280517472,8.311316418700793,2.680639817999524,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1144098.0,89835.0,88965.0,58156.0,149531.0,1306089.0,18024.0
2022-01-05,6.8123056118357175,8.158075734585866,8.590386611537218,8.256333504677531,7.712943559046042,2.9597385005191863,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1128828.0,96453.0,80629.0,59966.0,144974.0,1326890.0,16958.0
2022-01-10,4.248860241810531,6.200240693101895,5.957316685256795,6.002070910156942,6.675212950913134,2.860131830876717,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,1187526.0,130283.0,81566.0,50322.0,86020.0,1303139.0,15842.0
2022-01-11,8.135604672686737,6.220865698826418,6.896224779107081,8.952550660926327,8.874951262726983,2.2189704975354165,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,1206069.0,148233.0,88141.0,58898.0,69108.0,1258729.0,25520.0
2022-01-12,28.43699199677187,13.185942045770505,11.472949313320944,11.469831797811697,10.303388758062278,4.119714705588465,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1190472.0,143026.0,102187.0,61843.0,73853.0,1257266.0,26051.0
2022-01-18,7.451523395244067,8.306302731452146,8.33048929306014,9.187331049250297,7.399119178426748,1.9863916818285803,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,1141415.0,138867.0,120001.0,85772.0,74001.0,1268066.0,26576.0
2022-01-19,7.0450736465555766,8.215290914605296,7.972201373561415,9.431316029660909,7.3132805154745375,2.410397361253398,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,1142102.0,119840.0,94652.0,78280.0,121501.0,1276046.0,22277.0
2022-01-24,8.24692752954647,8.748657123503776,13.632026613944044,15.57219680446367,15.0636719699916,0.7682062409793748,1241986.0,208393.0,203037.0,76118.0,111646.0,974734.0,38784.0,1237245.0,173710.0,133978.0,65820.0,113674.0,1092702.0,37569.0
2022-01-25,6.934041927472546,7.704308175832804,11.610358684289316,12.007052796386827,11.11829670744984,0.5877589800274882,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,1210257.0,181166.0,139192.0,80123.0,150512.0,1055651.0,37797.0
2022-01-26,7.161561804625089,11.162350818896654,14.304915557809704,14.5971502540633,10.428231172759288,2.136954892939346,1187685.0,180525.0,171642.0,111717.0,172751.0,1018437.0,11941.0,1207566.0,173370.0,132883.0,77509.0,165708.0,1065485.0,32177.0
2022-01-31,10.271598170329108,8.653375062955224,6.8282295648382965,7.601179415944703,10.19111090756664,2.3585175280747124,1249038.0,94164.0,84949.0,45276.0,159803.0,1183595.0,37873.0,1178496.0,132217.0,105203.0,57913.0,125850.0,1238042.0,16977.0
