date,rmse,NIIEE_1,NIIEE_2,NIIEE_3,NIIEE_4,NIIEE_5,NIIEE_6,target_area0,target_area1,target_area2,target_area3,target_area4,target_area5,target_area6,forecast_area0,forecast_area1,forecast_area2,forecast_area3,forecast_area4,forecast_area5,forecast_area6
2022-01-03,1.050994789570253,70.75166550386056,85.59264649408492,109.08615609423714,119.56466234028075,164.16576686877545,14.099108577001997,1172614.0,103654.0,78643.0,65455.0,159057.0,1235816.0,39459.0,1188264.0,82912.0,130845.0,124812.0,183854.0,1112364.0,31647.0
2022-01-04,1.5713333507020777,156.87433687576814,170.06710509098232,170.51826524245564,169.48999965821818,191.44459131227438,11.010291765448473,1167772.0,102109.0,73306.0,52743.0,113725.0,1306532.0,38511.0,1402986.0,97470.0,81418.0,59823.0,135566.0,1058977.0,18458.0
2022-01-05,0.4311318277980892,23.59815502195029,28.259967599088814,29.757513316099622,28.60033725113522,26.71800828572557,10.252676837976658,1160270.0,102481.0,81464.0,56540.0,96954.0,1318556.0,38433.0,1128828.0,96453.0,80629.0,59966.0,144974.0,1326890.0,16958.0
2022-01-10,2.370084085510131,283.7797200063849,280.1384790810206,263.5878104135263,254.86701855105437,239.6247573352865,15.088904026858964,1185852.0,149040.0,84554.0,50067.0,84192.0,1258616.0,42377.0,1967177.0,121503.0,33995.0,22453.0,41795.0,667204.0,571.0
2022-01-11,1.7620660012895502,149.9938225782368,157.00653083256395,166.66453470744432,167.1980988586895,165.81491474629271,9.380663141911254,1254832.0,115429.0,65726.0,43963.0,66045.0,1294144.0,14559.0,1520485.0,159410.0,97771.0,47199.0,70165.0,944466.0,15202.0
2022-01-12,0.8687670544374685,57.12789279411911,57.855209373680225,69.97880000910226,66.1137832147064,60.51768234769495,13.003431856910522,1017372.0,256425.0,180515.0,47038.0,70038.0,1234679.0,48631.0,1145493.0,118395.0,84465.0,48157.0,76822.0,1349867.0,31499.0
2022-01-18,2.4595075077977926,368.4206937034358,345.5639579687597,336.2339478847985,314.13110558844295,302.5819295598553,17.787423240151142,1179045.0,143827.0,87797.0,94218.0,93214.0,1214340.0,42257.0,2036104.0,91931.0,70866.0,31717.0,70833.0,553247.0,0.0
2022-01-19,2.53416345014371,392.22064562605243,372.96644511612664,357.0376157047862,325.63231132176423,308.4306848030984,18.81400388189823,1133995.0,140464.0,83764.0,116028.0,101820.0,1233387.0,45240.0,2067502.0,86433.0,46569.0,47243.0,61939.0,544601.0,411.0
2022-01-24,1.1168044025698407,95.51653732149013,95.48895126019902,128.13285691934126,123.11379295631727,131.2224957839461,10.281604901791294,1241986.0,208393.0,203037.0,76118.0,111646.0,974734.0,38784.0,1023878.0,200828.0,137820.0,103526.0,137974.0,1218153.0,32519.0
2022-01-25,2.164193607595938,287.5930876775447,267.0602093329198,233.02940044849973,217.64235311180497,191.1516907515112,15.285785038333556,1250938.0,175489.0,201124.0,84344.0,129861.0,971578.0,41364.0,2009324.0,124903.0,54354.0,48157.0,63147.0,554367.0,446.0
