date,arome_displacement,icechart_displacement
2022-01-03,46007.1090954216,34131.36485232542
2022-01-04,69305.77585683086,59091.677714407466
2022-01-05,78252.83540331775,67451.70392239002
2022-01-10,75907.56392052627,55340.195711185486
2022-01-11,57784.342985313204,39470.69774792867
2022-01-12,45404.327612954345,36412.676605001776
2022-01-18,41134.90384242938,30879.565782089427
2022-01-19,37692.62345442815,35526.92685273968
2022-01-24,66671.80576418716,49627.40734229864
2022-01-25,53223.70756029227,48587.480009067986
2022-01-26,47777.70554762512,44369.928505858756
2022-01-31,40857.46985178278,37145.98935601047
2022-02-01,37561.24945687475,38757.43904044842
2022-02-02,33967.072272821955,35926.19897576654
2022-02-07,67003.17613116135,56225.7949595054
2022-02-08,65175.85613852443,53740.29660210844
2022-02-09,51242.18454950177,36324.644084074585
2022-02-14,38724.777723153835,29823.324011309913
2022-02-15,43713.82349193435,30503.668694750086
2022-02-16,39178.97657736189,28377.580543258293
2022-02-21,56797.51329957563,48274.62938979274
2022-02-22,41958.86224106949,32489.059264461997
2022-02-23,37304.948598974224,31583.37676391897
2022-02-28,50880.40354352353,38579.72965617989
2022-03-01,55151.40735337885,47468.02078632661
2022-03-02,72075.81215101016,68210.94661902124
2022-03-07,56442.31282744049,39855.30691436588
2022-03-08,56225.89356363667,44751.347865206975
2022-03-09,54401.13289932422,43597.95303262408
2022-03-14,68829.33389242837,39605.25627062755
2022-03-15,53425.07833505555,43672.19696827593
2022-03-16,58644.23165701463,64545.50471254404
2022-03-21,40933.025737062766,32923.20343193741
2022-03-22,45000.13735719822,30337.479478854893
2022-03-23,42213.10370736529,33344.938529895284
2022-03-28,39863.331190524965,39990.68532819377
2022-03-29,39447.25797079668,44614.651471220626
2022-03-30,48405.78447389751,43692.916114709595
2022-04-04,48153.7891570126,42683.46174007214
2022-04-05,54376.73658647679,49195.546781731406
2022-04-06,62941.48996192932,57360.069640693735
2022-04-11,81476.45728286816,74660.90023718329
2022-04-19,97831.781262293,80747.31965134427
2022-04-20,96487.2809916038,82518.15509475798
2022-04-25,103847.93479946464,95514.4810110613
2022-04-26,93845.63699656022,85230.20550370894
2022-04-27,106832.00627863342,101714.31462385134
2022-05-02,101997.57099889994,92092.82750699576
2022-05-03,101411.68667569885,84026.25384800717
2022-05-04,80367.76324267313,61338.38051811003
2022-05-09,65590.3967849216,56796.88748890108
2022-05-10,64529.76242178038,74517.64850164659
2022-05-11,60393.911411393885,79760.68075648272
2022-05-16,36038.95580654937,44514.42555547102
2022-05-18,38196.74397513868,38835.4846928333
2022-05-23,53353.59205577215,43822.19832517734
2022-05-25,42297.166160932495,46444.89783903454
2022-05-30,37917.252090446374,41254.24203322091
2022-05-31,32053.22962132784,41616.992305706735
2022-06-01,27365.913961053375,43745.56485595189
2022-06-07,33789.697374421245,29207.925890790222
2022-06-08,37617.25330875933,34692.728130648444
2022-06-13,32626.966152939913,47516.59949052116
2022-06-14,35148.66172105082,39349.28097718673
2022-06-15,32309.326630181087,33036.045863628824
2022-06-20,34782.80437062616,46269.45916794059
2022-06-21,29030.811643465844,39575.093546345226
2022-06-22,26594.62057631818,32853.77469114694
2022-06-27,37972.232942630086,33508.54085550359
2022-06-28,37948.29125939129,30389.16958744633
2022-06-29,38074.11062094829,33400.30593050209
2022-07-04,36266.026371642496,26801.319314603257
2022-07-05,85363.31753972461,34137.79605389734
2022-07-06,45128.045062190766,27109.18513636647
2022-07-11,89160.34886373123,25214.47764299671
2022-07-12,43755.09230893096,26254.42194238355
2022-07-13,35494.13005119483,20673.380342270364
2022-07-18,65981.19376748835,57860.19578354813
2022-07-19,54808.44175023616,54130.00772639507
2022-07-20,38340.390792939375,44911.27338874283
2022-07-25,40665.501932833635,39316.358741521166
2022-07-26,36762.36259287661,32863.06883396121
2022-07-27,48920.30783814582,35846.55859623634
2022-08-01,33922.233014693054,15075.437992692821
2022-08-02,32922.10038280862,19487.40473577508
2022-08-03,35530.96625574388,15803.824501201118
2022-08-08,54107.345239198345,27863.30028659734
2022-08-09,46000.75830327403,28569.659807106273
2022-08-10,39840.208292159565,32060.09744860295
2022-08-15,44237.69393225915,17427.063171627582
2022-08-16,35515.57093644231,21167.548590859762
2022-08-17,41560.91557319803,25186.562280058795
2022-08-22,62418.14223484211,44665.7695234416
2022-08-23,64398.5123890009,48600.7863478919
2022-08-24,56381.99734245935,43775.570506133474
2022-08-29,44023.23380809852,43421.46241736759
2022-08-30,44598.94161810131,32613.365889235865
2022-08-31,44445.111283743245,32965.72834221288
2022-09-05,50929.114690308896,38856.96372566661
2022-09-06,50454.235026837,33463.136640520126
2022-09-07,51601.713621056,28177.18465657089
2022-09-12,42707.31594906129,24510.658771030474
2022-09-13,60334.01392636659,32512.67175533397
2022-09-14,52412.27498889821,24543.471966857465
2022-09-19,49338.36699195634,38783.00721970536
2022-09-20,46500.409854577476,23619.703663123233
2022-09-21,48842.216310688775,25571.74309883576
2022-09-26,45517.41287159626,46943.79254698967
2022-09-27,45448.57016098665,41012.07785271797
2022-09-28,47291.816909264904,45000.06968726401
2022-10-03,32243.33971072077,39024.78557073458
2022-10-04,32857.72407454706,38440.81642740216
2022-10-05,29993.977470613194,35892.253299057214
2022-10-10,36620.85165806842,35417.56627463669
2022-10-11,26599.805321196618,31035.084178299556
2022-10-12,28744.581872524024,33860.86833334832
2022-10-17,32038.87551118379,28371.07505888035
2022-10-18,26905.581155913904,29573.054582751203
2022-10-19,37012.272816071454,31753.446151026656
2022-10-24,28682.94928469343,39622.37645192261
2022-10-25,27489.313039534063,31541.36096845923
2022-10-26,31691.326980579972,34727.8149222692
2022-10-31,43142.22601134675,52201.32157091639
2022-11-01,37814.78483172183,42745.29554123357
2022-11-02,31028.682350867777,40296.99183572112
2022-11-07,58901.15227106379,40956.66646584286
2022-11-08,53222.373369896966,36484.45810532537
2022-11-09,47968.650472475856,31014.61050842127
2022-11-14,40597.58227526628,34418.42989371989
2022-11-15,32436.811478797623,29518.469552276634
2022-11-16,41345.434348668976,43352.20780323137
2022-11-21,40634.03818239755,34540.669503568715
2022-11-23,40747.29233799866,33011.41639944557
2022-11-28,49748.32842361187,41348.540265115975
2022-11-29,48756.81419307999,37269.49590589831
2022-11-30,56708.00865297433,41895.16324367451
2022-12-05,39011.33222900665,33561.69382565032
2022-12-06,47262.398547334655,36067.90649530629
2022-12-07,51511.11649998546,36920.03963822859
2022-12-12,35197.607582148936,30089.67544601135
2022-12-13,41095.26809041201,34369.57098624935
2022-12-14,50471.37179569334,32529.320960918274
2022-12-19,71363.15838604778,61340.2637856883
2022-12-20,39569.50133316482,25147.03266067109
2022-12-21,43345.902369908974,25739.766555325637
2022-12-27,70737.2068984496,44189.15258787286
2022-12-28,63746.434104314365,46438.80250757145
